ticker,cik,sector,start,end,note
XOM,34088,energy_oil,,,
CVX,93410,energy_oil,,,
COP,1163165,energy_oil,,,
VST,1692819,power,,,
CEG,1868275,power,,,
NRG,1013871,power,,,
GEV,1996810,power,,,
LMT,936468,defense,,,
NOC,1133421,defense,,,
RTX,101829,defense,2020-07-01,,2020-04 UTC 併 Raytheon＋分拆 Otis、Carrier，之前的股數與價格口徑不一
GD,40533,defense,,,
LHX,202058,defense,,,
TSLA,1318605,auto_tech,,,
