ticker,gics,status,quarters,first,last,px_last,splits,note,share_scale_fixed
COF,Financials,ok,52.0,2012-06-30,2025-06-30,2025-09-30,,,0.0
CAH,Health Care,ok,71.0,2008-09-30,2025-06-30,2025-09-30,,,0.0
KMX,Consumer Discretionary,ok,63.0,2009-08-31,2025-05-31,2025-09-30,,,2.0
CCL,Consumer Discretionary,ok,46.0,2008-08-31,2025-05-31,2025-09-30,,,1.0
CARR,Industrials,ok,26.0,2019-03-31,2025-06-30,2025-09-30,,,0.0
CAT,Industrials,ok,69.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
CBOE,Financials,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
CBRE,Real Estate,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
CDW,Information Technology,ok,60.0,2010-06-30,2025-06-30,2025-09-30,,,0.0
COR,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,1.0
CNC,Health Care,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2014-12-31:2;2018-12-31:2,,0.0
CNP,Utilities,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,4.0
CF,Materials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2015-06-30:5,,0.0
CRL,Health Care,ok,64.0,2009-06-27,2025-06-28,2025-09-30,,,0.0
SCHW,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
CHTR,Communication Services,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
CVX,Energy,ok,70.0,2008-03-31,2025-06-30,2025-09-30,,,0.0
CMG,Consumer Discretionary,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
CB,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
CHD,Consumer Staples,ok,71.0,2009-03-27,2025-06-30,2025-09-30,2011-06-30:2;2016-09-30:2,,2.0
CI,Health Care,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
CINF,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
CTAS,Industrials,ok,64.0,2009-08-31,2025-05-31,2025-09-30,2024-08-31:4,,0.0
CSCO,Information Technology,ok,68.0,2008-10-25,2025-07-26,2025-09-30,,,0.0
C,Financials,ok,67.0,2008-09-30,2025-06-30,2025-09-30,2009-09-30:2,,0.0
CFG,Financials,ok,47.0,2013-09-30,2025-06-30,2025-09-30,,,0.0
CLX,Consumer Staples,ok,68.0,2008-09-30,2025-06-30,2025-09-30,,,3.0
CME,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2012-06-30:5,,0.0
CMS,Utilities,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
KO,Consumer Staples,ok,68.0,2008-06-27,2025-06-27,2025-09-30,2012-09-28:2,,4.0
CTSH,Information Technology,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2014-03-31:2,,0.0
COIN,Financials,ok,22.0,2020-03-31,2025-06-30,2025-09-30,2021-06-30:2,,0.0
CL,Consumer Staples,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2013-06-30:2,,0.0
CMCSA,Communication Services,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2017-03-31:2,,0.0
CAG,Consumer Staples,ok,34.0,2017-02-26,2025-05-25,2025-09-30,,分拆 2016-11-10×1.285,0.0
COP,Energy,ok,53.0,2012-06-30,2025-06-30,2025-09-30,,分拆 2012-05-01×1.31179,32.0
ED,Utilities,ok,63.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
STZ,Consumer Staples,ok,63.0,2009-08-31,2025-05-31,,,,0.0
CEG,Utilities,ok,18.0,2021-03-31,2025-06-30,2025-09-30,,,0.0
COO,Health Care,ok,64.0,2009-07-31,2025-07-31,2025-09-30,2024-01-31:4,,0.0
CPRT,Industrials,ok,65.0,2009-10-31,2025-04-30,2025-09-30,2012-04-30:2;2017-04-30:2;2022-10-31:2;2023-07-31:2,,3.0
GLW,Information Technology,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,1.0
CPAY,Financials,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,10.0
CTVA,Materials,ok,30.0,2018-03-31,2025-06-30,2025-09-30,,,0.0
CSGP,Real Estate,ok,60.0,2010-06-30,2025-06-30,2025-09-30,2021-06-30:10,,0.0
COST,Consumer Staples,ok,67.0,2008-11-23,2025-05-11,2025-09-30,,,0.0
CTRA,Energy,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2011-12-31:2;2013-09-30:2,,0.0
CRWD,Information Technology,ok,30.0,2018-04-30,2025-07-31,2025-09-30,,,0.0
CCI,Real Estate,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
CSX,Industrials,ok,71.0,2008-03-28,2025-06-30,2025-09-30,2011-07-01:3;2021-06-30:3,,9.0
CMI,Industrials,ok,68.0,2008-06-29,2025-06-30,2025-09-30,,,0.0
CVS,Health Care,ok,68.0,2008-06-28,2025-06-30,2025-09-30,,,0.0
DHR,Health Care,too short after spin-off cut,,,,,,,
DRI,Consumer Discretionary,ok,38.0,2016-02-28,2025-05-25,2025-09-30,,分拆 2015-11-10×1.11869,0.0
DDOG,Information Technology,ok,27.0,2018-09-30,2025-06-30,2025-09-30,,,3.0
DVA,Health Care,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
DAY,Industrials,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
DECK,Consumer Discretionary,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
DE,Industrials,ok,71.0,2008-07-31,2025-07-27,2025-09-30,,,0.0
DELL,Information Technology,ok,15.0,2022-01-28,2025-08-01,2025-09-30,,分拆 2018-12-28×1.806;2021-11-02×1.973,0.0
DAL,Industrials,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,1.0
DVN,Energy,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
DXCM,Health Care,ok,62.0,2010-03-31,2025-06-30,2025-09-30,2022-06-30:4,,0.0
FANG,Energy,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
DLR,Real Estate,ok,61.0,2009-06-30,2025-06-30,2025-09-30,,,3.0
DG,Consumer Staples,ok,62.0,2010-04-30,2025-08-01,2025-09-30,,,0.0
DLTR,Consumer Staples,ok,66.0,2009-05-02,2025-08-02,2025-09-30,2012-07-28:2,,6.0
D,Utilities,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
DPZ,Consumer Discretionary,ok,62.0,2010-03-28,2025-06-15,2025-09-30,,,0.0
DASH,Consumer Discretionary,ok,22.0,2020-03-31,2025-06-30,2025-09-30,,,0.0
DOV,Industrials,ok,46.0,2014-03-31,2025-06-30,2025-09-30,,分拆 2014-03-03×1.205,0.0
DOW,Materials,ok,30.0,2018-03-31,2025-06-30,2025-09-30,,,0.0
DHI,Consumer Discretionary,ok,63.0,2009-12-31,2025-06-30,2025-09-30,,,0.0
DTE,Utilities,too short after spin-off cut,,,,,,,
DUK,Utilities,ok,65.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
DD,Materials,ok,25.0,2019-06-30,2025-06-30,2025-09-30,,分拆 2019-06-03×0.4725,0.0
EMN,Materials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,2.0
ETN,Industrials,ok,54.0,2012-03-31,2025-06-30,2025-09-30,,,0.0
EBAY,Consumer Discretionary,ok,40.0,2015-09-30,2025-06-30,2025-09-30,,分拆 2015-07-20×2.376,0.0
ECL,Materials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
EIX,Utilities,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
EW,Health Care,ok,66.0,2009-03-31,2025-06-30,2025-09-30,2015-12-31:2;2020-06-30:3,,0.0
EA,Communication Services,ok,69.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
ELV,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,2.0
EMR,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
ENPH,Information Technology,ok,58.0,2011-03-31,2025-06-30,2025-09-30,,,0.0
ETR,Utilities,ok,56.0,2010-09-30,2025-06-30,2025-09-30,2024-12-31:2,,1.0
EOG,Energy,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,3.0
EPAM,Information Technology,ok,58.0,2011-03-31,2025-06-30,2025-09-30,,,5.0
EQT,Energy,ok,27.0,2018-12-31,2025-06-30,2025-09-30,,分拆 2018-11-13×1.837,0.0
EFX,Industrials,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
EQIX,Real Estate,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
EQR,Real Estate,ok,47.0,2008-06-30,2020-03-31,2025-09-30,,,0.0
ERIE,Financials,ok,64.0,2009-06-30,2025-06-30,,,,0.0
ESS,Real Estate,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
EL,Consumer Staples,ok,64.0,2009-09-30,2025-06-30,2025-09-30,2011-12-31:2,,0.0
EG,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,10.0
EVRG,Utilities,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
ES,Utilities,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
EXC,Utilities,ok,14.0,2022-03-31,2025-06-30,2025-09-30,,分拆 2022-02-02×1.402,0.0
EXE,Energy,ok,66.0,2008-06-30,2025-06-30,2025-09-30,2021-06-30:10,,0.0
EXPE,Consumer Discretionary,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
EXPD,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
EXR,Real Estate,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
XOM,Energy,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
FFIV,Information Technology,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
FDS,Financials,ok,65.0,2009-11-30,2025-05-31,2025-09-30,,,1.0
FICO,Information Technology,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
FAST,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2011-06-30:2;2019-06-30:2;2025-06-30:2,,0.0
FRT,Real Estate,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
FDX,Industrials,ok,68.0,2008-08-31,2025-05-31,2025-09-30,,,0.0
FIS,Financials,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
FITB,Financials,ok,28.0,2017-09-30,2024-09-30,2025-09-30,,,0.0
FSLR,Information Technology,ok,68.0,2008-06-28,2025-06-30,2025-09-30,,,0.0
FE,Utilities,ok,65.0,2008-03-31,2025-06-30,2025-09-30,,,0.0
FI,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2013-12-31:2;2018-03-31:2,,0.0
F,Consumer Discretionary,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
FTNT,Information Technology,ok,60.0,2010-06-30,2025-06-30,2025-09-30,2022-06-30:5,,0.0
FTV,Industrials,ok,19.0,2020-12-31,2025-06-27,2025-09-30,,分拆 2020-10-09×1.195,0.0
FOXA,Communication Services,ok,32.0,2017-09-30,2025-06-30,2025-09-30,,,0.0
BEN,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2013-06-30:3,,4.0
FCX,Materials,ok,52.0,2012-06-30,2025-06-30,2025-09-30,,,0.0
GRMN,Consumer Discretionary,ok,68.0,2008-06-28,2025-06-28,2025-09-30,,,19.0
IT,Information Technology,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
GE,Industrials,ok,10.0,2023-03-31,2025-06-30,2025-09-30,,分拆 2019-02-26×1.04;2023-01-04×1.281,0.0
GEHC,Health Care,ok,14.0,2022-03-31,2025-06-30,2025-09-30,,,0.0
GEV,Industrials,no revenue,,,,,,,
GEN,Information Technology,ok,69.0,2008-07-04,2025-07-04,2025-09-30,,,0.0
GNRC,Industrials,ok,60.0,2010-06-30,2025-06-30,2025-09-30,,,0.0
GD,Industrials,ok,68.0,2008-06-29,2025-06-29,2025-09-30,,,0.0
GIS,Consumer Staples,ok,68.0,2008-08-24,2025-05-25,2025-09-30,2009-05-31:2,,0.0
GM,Consumer Discretionary,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
GPC,Consumer Discretionary,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,3.0
GILD,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2012-12-31:2,,0.0
GPN,Financials,ok,64.0,2010-08-31,2025-06-30,2025-09-30,2015-11-30:2,,0.0
GL,Financials,ok,66.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
GDDY,Information Technology,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
GS,Financials,ok,51.0,2012-09-30,2025-06-30,2025-09-30,,,0.0
HAL,Energy,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
HIG,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,4.0
HAS,Consumer Discretionary,ok,64.0,2009-06-28,2025-06-29,2025-09-30,,,0.0
HCA,Health Care,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
DOC,Real Estate,ok,35.0,2016-12-31,2025-06-30,2025-09-30,,分拆 2016-11-01×1.098,0.0
HSIC,Health Care,ok,26.0,2019-03-30,2025-06-28,2025-09-30,2017-09-30:2,分拆 2019-02-08×1.275,0.0
HSY,Consumer Staples,ok,71.0,2008-06-29,2025-06-29,2025-09-30,,,11.0
HPE,Information Technology,ok,32.0,2017-10-31,2025-07-31,2025-09-30,,分拆 2017-09-01×1.289,0.0
HLT,Consumer Discretionary,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,分拆 2017-01-04×0.487329,0.0
HOLX,Health Care,ok,68.0,2008-06-28,2025-06-28,2025-09-30,,,0.0
HD,Consumer Discretionary,ok,68.0,2008-08-03,2025-08-03,2025-09-30,,,0.0
HON,Industrials,ok,27.0,2018-12-31,2025-06-30,2025-09-30,,分拆 2016-10-03×1.00533;2018-10-01×1.011;2018-10-29×1.032,0.0
HRL,Consumer Staples,ok,65.0,2009-07-26,2025-07-27,2025-09-30,2010-01-24:2;2011-01-30:2;2016-01-24:2,,0.0
HST,Real Estate,ok,63.0,2009-12-31,2025-06-30,2025-09-30,,分拆 2009-11-04×1.0215,4.0
HWM,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
HPQ,Information Technology,ok,39.0,2016-01-31,2025-07-31,2025-09-30,,分拆 2015-11-02×2.202,0.0
HUBB,Industrials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
HUM,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
HBAN,Financials,ok,30.0,2018-03-31,2025-06-30,2025-09-30,,,0.0
HII,Industrials,ok,60.0,2010-06-30,2025-06-30,2025-09-30,,,0.0
IBM,Information Technology,ok,15.0,2021-12-31,2025-06-30,2025-09-30,,分拆 2021-11-04×1.046,0.0
IEX,Industrials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
IDXX,Health Care,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2015-06-30:2,,0.0
ITW,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
INCY,Health Care,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,3.0
IR,Industrials,ok,36.0,2016-06-30,2025-06-30,2025-09-30,,,0.0
PODD,Health Care,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
INTC,Information Technology,ok,68.0,2008-06-28,2025-06-28,2025-09-30,,,0.0
IBKR,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2025-06-30:4,,0.0
ICE,Financials,ok,50.0,2013-03-31,2025-06-30,2025-09-30,2016-12-31:5,,0.0
IFF,Materials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
IP,Materials,ok,15.0,2021-12-31,2025-06-30,2025-09-30,,分拆 2014-07-02×1.014;2021-10-01×1.056,0.0
IPG,Communication Services,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
INTU,Information Technology,ok,68.0,2008-10-31,2025-07-31,2025-09-30,,,0.0
ISRG,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2017-09-30:3;2021-09-30:3,,0.0
IVZ,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
INVH,Real Estate,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
IQV,Health Care,ok,54.0,2012-03-31,2025-06-30,2025-09-30,,,0.0
IRM,Real Estate,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,分拆 2014-09-26×1.082,0.0
JBHT,Industrials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
JBL,Information Technology,ok,63.0,2009-11-30,2025-05-31,2025-09-30,,,1.0
JKHY,Financials,ok,64.0,2009-09-30,2025-06-30,2025-09-30,,,0.0
J,Industrials,too short after spin-off cut,,,,,,,
JNJ,Health Care,ok,68.0,2008-06-29,2025-06-29,2025-09-30,,,0.0
JCI,Industrials,ok,35.0,2016-12-31,2025-06-30,2025-09-30,,分拆 2016-09-06×0.955,0.0
JPM,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
K,Consumer Staples,too short after spin-off cut,,,,,,,
KVUE,Consumer Staples,ok,14.0,2022-04-03,2025-06-29,2025-09-30,,,0.0
KDP,Consumer Staples,ok,67.0,2009-03-31,2025-06-30,2025-09-30,,,0.0
KEY,Financials,ok,39.0,2015-09-30,2025-06-30,2025-09-30,,,0.0
KEYS,Information Technology,ok,47.0,2014-01-31,2025-07-31,2025-09-30,,,0.0
KMB,Consumer Staples,ok,43.0,2014-12-31,2025-06-30,2025-09-30,,分拆 2014-11-03×1.043,0.0
KIM,Real Estate,ok,58.0,2011-03-31,2025-06-30,2025-09-30,,,0.0
KMI,Energy,ok,60.0,2010-06-30,2025-06-30,2025-09-30,,,0.0
KKR,Financials,ok,34.0,2017-03-31,2025-06-30,,,,0.0
KLAC,Information Technology,ok,64.0,2009-09-30,2025-06-30,2025-09-30,,,0.0
KHC,Consumer Staples,ok,46.0,2014-03-30,2025-06-28,2025-09-30,,,0.0
KR,Consumer Staples,ok,46.0,2008-08-16,2024-11-09,2025-09-30,2015-08-15:2,,0.0
LHX,Industrials,ok,65.0,2009-07-03,2025-06-27,2025-09-30,,分拆 2009-05-11×1.05843,0.0
LH,Health Care,ok,8.0,2023-09-30,2025-06-30,2025-09-30,,分拆 2023-07-03×1.164,0.0
LRCX,Information Technology,ok,64.0,2009-09-27,2025-06-29,2025-09-30,2024-09-29:10,,0.0
LW,Consumer Staples,ok,40.0,2015-08-30,2025-05-25,2025-09-30,,,0.0
LVS,Consumer Discretionary,ok,66.0,2009-03-31,2025-06-30,2025-09-30,,,0.0
LDOS,Industrials,ok,48.0,2013-11-01,2025-07-04,2025-09-30,,分拆 2013-09-30×0.405,0.0
LEN,Consumer Discretionary,too short after spin-off cut,,,,,,,
LII,Industrials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
LLY,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
LIN,Materials,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
LYV,Communication Services,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
LKQ,Consumer Discretionary,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2012-09-30:2,,0.0
LMT,Industrials,ok,74.0,2008-06-29,2025-06-29,2025-09-30,,,0.0
