ticker,gics,status,quarters,first,last,px_last,splits,note,share_scale_fixed
PCAR,Industrials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,3.0
PKG,Materials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
PLTR,Information Technology,ok,23.0,2019-09-30,2025-06-30,2025-09-30,,,0.0
PANW,Information Technology,ok,56.0,2011-10-31,2025-07-31,2025-09-30,2022-10-31:3;2025-01-31:2,,0.0
PSKY,Communication Services,no revenue,,,,,,,
PH,Industrials,ok,68.0,2008-09-30,2025-06-30,2025-09-30,,,0.0
PAYX,Industrials,ok,68.0,2008-08-31,2025-05-31,2025-09-30,,,0.0
PAYC,Industrials,ok,50.0,2013-03-31,2025-06-30,2025-09-30,,,0.0
PYPL,Financials,ok,46.0,2014-03-31,2025-06-30,2025-09-30,,,0.0
PNR,Industrials,ok,64.0,2009-06-27,2025-06-30,2025-09-30,,,0.0
PEP,Consumer Staples,ok,67.0,2008-09-06,2025-06-14,2025-09-30,,,0.0
PFE,Health Care,ok,19.0,2020-12-31,2025-06-29,2025-09-30,,分拆 2020-11-17×1.054,0.0
PCG,Utilities,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
PM,Consumer Staples,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
PSX,Energy,ok,58.0,2011-03-31,2025-06-30,2025-09-30,,,0.0
PNW,Utilities,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
PNC,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
POOL,Consumer Discretionary,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,2.0
PPG,Materials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2015-06-30:2,,0.0
PPL,Utilities,ok,41.0,2015-06-30,2025-06-30,2025-09-30,,分拆 2015-06-02×1.07365,0.0
PFG,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
PG,Consumer Staples,ok,68.0,2008-09-30,2025-06-30,2025-09-30,,,0.0
PGR,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
PLD,Real Estate,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
PRU,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
PEG,Utilities,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
PTC,Information Technology,ok,64.0,2009-07-04,2025-06-30,2025-09-30,,,0.0
PSA,Real Estate,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
PHM,Consumer Discretionary,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,2.0
PWR,Industrials,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
QCOM,Information Technology,ok,68.0,2008-06-29,2025-06-29,2025-09-30,,,0.0
DGX,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,2.0
RL,Consumer Discretionary,ok,65.0,2009-06-27,2025-06-28,2025-09-30,,,0.0
RJF,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
RTX,Industrials,ok,21.0,2020-06-30,2025-06-30,2025-09-30,,分拆 2020-04-03×1.589,0.0
O,Real Estate,ok,15.0,2021-12-31,2025-06-30,2025-09-30,2017-03-31:2,分拆 2021-11-15×1.032,0.0
REG,Real Estate,ok,53.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
REGN,Health Care,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
RF,Financials,no revenue,,,,,,,
RSG,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2009-03-31:2,,0.0
RMD,Health Care,ok,64.0,2009-09-30,2025-06-30,2025-09-30,,,2.0
RVTY,Health Care,ok,64.0,2009-07-05,2025-06-29,2025-09-30,,,0.0
ROK,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
ROL,Industrials,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,1.0
ROP,Information Technology,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
ROST,Consumer Discretionary,ok,65.0,2009-05-02,2025-05-03,2025-09-30,2012-01-28:2;2015-08-01:2,,0.0
RCL,Consumer Discretionary,ok,66.0,2009-03-31,2025-06-30,2025-09-30,,,0.0
SPGI,Financials,ok,67.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
CRM,Information Technology,ok,68.0,2008-07-31,2025-07-31,2025-09-30,2013-04-30:4,,0.0
SBAC,Real Estate,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
SLB,Energy,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
STX,Information Technology,ok,64.0,2009-10-02,2025-06-27,2025-09-30,,,0.0
SRE,Utilities,ok,58.0,2011-03-31,2025-06-30,2025-09-30,2023-09-30:2,,0.0
NOW,Information Technology,ok,56.0,2011-06-30,2025-06-30,2025-09-30,,,0.0
SHW,Materials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2021-03-31:3,,3.0
SPG,Real Estate,ok,45.0,2014-06-30,2025-06-30,2025-09-30,,分拆 2009-08-13×1.00722;2009-11-12×1.0063;2014-05-29×1.063,0.0
SWKS,Information Technology,ok,65.0,2009-04-03,2025-06-27,2025-09-30,,,0.0
SJM,Consumer Staples,ok,65.0,2009-07-31,2025-07-31,2025-09-30,,,0.0
SW,Materials,no revenue,,,,,,,
SNA,Industrials,ok,64.0,2009-07-04,2025-06-28,2025-09-30,,,0.0
SOLV,Health Care,no revenue,,,,,,,
SO,Utilities,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
LUV,Industrials,ok,70.0,2008-03-31,2025-06-30,2025-09-30,,,9.0
SWK,Industrials,ok,64.0,2009-07-04,2025-06-28,2025-09-30,,,0.0
SBUX,Consumer Discretionary,ok,68.0,2008-06-29,2025-06-29,2025-09-30,2015-03-29:2,,0.0
STT,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
STLD,Materials,ok,66.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
STE,Health Care,ok,32.0,2017-06-30,2025-06-30,2025-09-30,,,0.0
SYK,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
SMCI,Information Technology,ok,60.0,2010-09-30,2025-06-30,2025-09-30,2024-06-30:10,,0.0
SYF,Financials,no revenue,,,,,,,
SNPS,Information Technology,ok,64.0,2009-07-31,2025-07-31,2025-09-30,,,0.0
SYY,Consumer Staples,ok,68.0,2008-09-27,2025-06-28,2025-09-30,,,0.0
TMUS,Communication Services,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
TROW,Financials,ok,64.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
TTWO,Communication Services,ok,64.0,2009-07-31,2025-06-30,2025-09-30,,,0.0
TPR,Consumer Discretionary,ok,68.0,2008-09-27,2025-06-28,2025-09-30,,,0.0
TRGP,Energy,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
TGT,Consumer Staples,ok,68.0,2008-08-02,2025-08-02,2025-09-30,,,0.0
TEL,Information Technology,ok,68.0,2008-06-27,2025-06-27,2025-09-30,,,0.0
TDY,Information Technology,ok,64.0,2009-06-28,2025-06-29,2025-09-30,,,0.0
TER,Information Technology,ok,71.0,2009-07-05,2025-06-29,2025-09-30,,,1.0
TSLA,Consumer Discretionary,ok,62.0,2010-03-31,2025-06-30,2025-09-30,2020-09-30:5;2022-09-30:3,,0.0
TXN,Information Technology,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,2.0
TPL,Energy,ok,26.0,2019-03-31,2025-06-30,2025-09-30,2024-03-31:3,,0.0
TXT,Industrials,ok,63.0,2009-04-04,2025-06-28,2025-09-30,,,0.0
TMO,Health Care,ok,68.0,2008-06-28,2025-06-28,2025-09-30,,,0.0
TJX,Consumer Discretionary,ok,68.0,2008-07-26,2025-08-02,2025-09-30,2012-01-28:2;2018-11-03:2,,0.0
TKO,Communication Services,no revenue,,,,,,,
TTD,Communication Services,ok,32.0,2017-06-30,2025-06-30,2025-09-30,2021-06-30:10,,0.0
TSCO,Consumer Discretionary,ok,64.0,2009-06-27,2025-06-28,2025-09-30,2013-09-28:2;2024-12-28:5,,7.0
TT,Industrials,ok,22.0,2020-03-31,2025-06-30,2025-09-30,,分拆 2020-03-02×1.289,0.0
TDG,Industrials,ok,64.0,2009-06-27,2025-06-28,2025-09-30,,,0.0
TRV,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
TRMB,Information Technology,ok,64.0,2009-07-03,2025-07-04,2025-09-30,2013-03-29:2,,0.0
TFC,Financials,no revenue,,,,,,,
TYL,Information Technology,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
TSN,Consumer Staples,ok,72.0,2008-12-31,2025-06-28,2025-09-30,,,0.0
USB,Financials,ok,39.0,2012-09-30,2025-06-30,2025-09-30,,,0.0
UBER,Industrials,ok,30.0,2018-03-31,2025-06-30,2025-09-30,,,0.0
UDR,Real Estate,ok,60.0,2009-06-30,2025-06-30,2025-09-30,,,1.0
ULTA,Consumer Discretionary,ok,62.0,2010-05-01,2025-08-02,2025-09-30,,,0.0
UNP,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2014-06-30:2,,0.0
UAL,Industrials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
UPS,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
URI,Industrials,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,0.0
UNH,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
UHS,Health Care,ok,62.0,2010-03-31,2025-06-30,2025-09-30,,,2.0
VLO,Energy,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,分拆 2013-05-02×1.094,0.0
VTR,Real Estate,ok,40.0,2015-09-30,2025-06-30,2025-09-30,,分拆 2015-08-18×0.8757,0.0
VLTO,Industrials,no revenue,,,,,,,
VRSN,Information Technology,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
VRSK,Industrials,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
