cik,ticker,status,quarters,prices,splits,share_scale_fixed
70318,THC,ok,38.0,28.0,0.0,0.0
70487,,no v2,,,,
70866,VYX,ok,69.0,28.0,0.0,0.0
71691,NYT,ok,69.0,28.0,1.0,0.0
71829,,no v2,,,,
72162,,no v2,,,,
72444,,no v2,,,,
72573,,no v2,,,,
73756,OII,ok,69.0,27.0,2.0,0.0
74046,,no v2,,,,
74260,ORI,ok,69.0,28.0,0.0,0.0
74303,OLN,ok,69.0,28.0,1.0,5.0
75252,ACH,ok,68.0,26.0,3.0,0.0
75288,OXM,ok,65.0,28.0,1.0,0.0
76267,,no v2,,,,
76282,PKOH,ok,65.0,24.0,4.0,0.0
76605,PATK,ok,75.0,28.0,5.0,0.0
77543,TPC,ok,38.0,28.0,3.0,0.0
78128,WTRG,ok,69.0,27.0,0.0,0.0
78239,PVH,ok,69.0,17.0,1.0,0.0
78749,AGYS,ok,65.0,28.0,4.0,0.0
78814,PBI,ok,72.0,28.0,1.0,0.0
78890,BCO,ok,69.0,28.0,1.0,0.0
80035,,no v2,,,,
80172,,no v2,,,,
80420,POWL,ok,51.0,28.0,3.0,0.0
81362,KWR,ok,65.0,28.0,3.0,0.0
82020,USLM,ok,65.0,1.0,0.0,0.0
82811,RRX,ok,70.0,28.0,0.0,0.0
84246,RLI,ok,69.0,28.0,2.0,0.0
84748,ROG,ok,65.0,28.0,4.0,0.0
85535,RGLD,ok,38.0,28.0,1.0,0.0
85961,R,ok,69.0,28.0,0.0,0.0
86115,,no v2,,,,
87050,,no v2,,,,
88205,SPXC,ok,73.0,17.0,2.0,7.0
88941,SMTC,ok,69.0,28.0,5.0,0.0
88948,SENEA,ok,66.0,28.0,5.0,16.0
89089,SCI,ok,69.0,28.0,0.0,0.0
89439,MLI,ok,69.0,28.0,3.0,1.0
90498,SFNC,ok,64.0,28.0,2.0,0.0
90896,SKY,ok,71.0,28.0,2.0,0.0
91767,SON,ok,74.0,28.0,0.0,0.0
93314,,no v2,,,,
93389,SMP,ok,65.0,28.0,2.0,0.0
94049,SCL,ok,65.0,28.0,2.0,0.0
94344,STC,ok,65.0,28.0,2.0,0.0
95029,,no v2,,,,
95574,,no v2,,,,
95953,,no v2,,,,
96223,JEF,ok,70.0,28.0,0.0,0.0
96536,,no v2,,,,
96869,,no v2,,,,
96943,TFX,ok,71.0,7.0,0.0,0.0
97134,TNC,ok,66.0,28.0,3.0,0.0
97216,TEX,ok,72.0,28.0,1.0,0.0
98222,TDW,ok,68.0,28.0,2.0,2.0
98362,TKR,ok,69.0,28.0,0.0,0.0
98677,,no v2,,,,
99302,,no v2,,,,
99780,TRN,ok,69.0,28.0,2.0,0.0
100378,,no v2,,,,
100591,AGX,ok,38.0,28.0,2.0,0.0
100726,,no v2,,,,
101199,UFCS,ok,65.0,28.0,2.0,0.0
101382,UMBF,ok,70.0,28.0,4.0,0.0
101538,,no v2,,,,
101984,,no v2,,,,
102037,UVV,ok,69.0,28.0,2.0,0.0
102212,UVSP,ok,65.0,28.0,5.0,0.0
102729,VMI,ok,70.0,28.0,0.0,4.0
102752,VSEC,ok,63.0,28.0,7.0,0.0
103145,VECO,ok,66.0,28.0,3.0,0.0
103379,VFC,ok,77.0,10.0,0.0,0.0
103595,VLGEA,ok,63.0,0.0,4.0,0.0
103730,VSH,ok,70.0,27.0,3.0,0.0
104889,GHC,ok,68.0,1.0,0.0,0.0
104894,ELME,ok,67.0,25.0,1.0,0.0
104918,AVA,ok,69.0,28.0,3.0,0.0
105016,WSO,ok,69.0,28.0,0.0,0.0
105132,WDFC,ok,63.0,28.0,2.0,0.0
105319,,no v2,,,,
105418,WMK,ok,65.0,28.0,5.0,0.0
105634,EME,ok,69.0,23.0,1.0,0.0
106532,,no v2,,,,
106640,WHR,ok,69.0,11.0,1.0,1.0
107140,WLY,ok,69.0,1.0,0.0,2.0
107687,WGO,ok,63.0,28.0,2.0,0.0
108312,WWD,ok,69.0,28.0,0.0,0.0
108385,,no v2,,,,
108516,WOR,ok,68.0,28.0,3.0,0.0
108985,,no v2,,,,
109177,SPB,ok,73.0,6.0,0.0,0.0
109380,ZION,ok,69.0,1.0,0.0,0.0
109563,AIT,ok,68.0,28.0,2.0,0.0
109657,,no v2,,,,
110471,WWW,ok,61.0,28.0,3.0,0.0
110621,RPM,ok,68.0,28.0,0.0,0.0
203596,WSBC,ok,65.0,28.0,3.0,0.0
215466,CDE,ok,69.0,28.0,6.0,0.0
216085,,no v2,,,,
216228,ITT,ok,74.0,28.0,0.0,0.0
230557,SIGI,ok,69.0,21.0,2.0,0.0
275053,,no v2,,,,
275880,PSN,ok,34.0,28.0,4.0,1.0
276720,,no v2,,,,
277509,FSS,ok,65.0,28.0,2.0,0.0
278166,CVCO,ok,65.0,28.0,2.0,1.0
310142,SXT,ok,69.0,28.0,2.0,1.0
310354,SXI,ok,64.0,28.0,2.0,0.0
311094,WABC,ok,69.0,28.0,1.0,0.0
313143,HAE,ok,69.0,28.0,1.0,0.0
314203,,no v2,,,,
314489,BUSE,ok,53.0,28.0,5.0,0.0
314808,VAL,ok,37.0,1.0,0.0,0.0
315213,RHI,ok,38.0,10.0,0.0,0.0
315709,IBOC,ok,69.0,28.0,3.0,0.0
315852,RRC,ok,73.0,28.0,2.0,0.0
317540,COKE,ok,65.0,28.0,4.0,0.0
317788,,no v2,,,,
318300,PEBO,ok,66.0,28.0,9.0,0.0
318306,,no v2,,,,
318673,,no v2,,,,
318833,,no v2,,,,
320121,,no v2,,,,
350698,AN,ok,69.0,28.0,2.0,0.0
350852,CTBI,ok,65.0,1.0,0.0,4.0
350894,SEIC,ok,69.0,28.0,1.0,0.0
351569,ABCB,ok,65.0,28.0,1.0,0.0
352825,,no v2,,,,
354647,CVBF,ok,66.0,28.0,2.0,0.0
354707,HE,ok,69.0,23.0,0.0,0.0
354963,,no v2,,,,
355811,GNTX,ok,69.0,28.0,0.0,0.0
355948,,no v2,,,,
356037,,no v2,,,,
356171,TCBK,ok,65.0,28.0,4.0,0.0
356309,NJR,ok,69.0,28.0,2.0,0.0
357173,OSBC,ok,65.0,28.0,6.0,0.0
357294,HOV,ok,65.0,22.0,2.0,1.0
357301,TRST,ok,65.0,28.0,1.0,0.0
700564,FULT,ok,69.0,28.0,2.0,0.0
700565,FMBH,ok,65.0,28.0,5.0,0.0
700841,,no v2,,,,
700923,MYRG,ok,38.0,28.0,1.0,0.0
701347,CPF,ok,65.0,28.0,0.0,0.0
701719,,no v2,,,,
701985,BBWI,ok,73.0,1.0,0.0,0.0
703351,EAT,ok,68.0,27.0,2.0,0.0
703604,DSGR,ok,64.0,27.0,4.0,0.0
704440,,no v2,,,,
704532,ONTO,ok,71.0,28.0,2.0,0.0
705432,SBSI,ok,66.0,28.0,1.0,1.0
706129,HBNC,ok,64.0,28.0,4.0,0.0
706698,,no v2,,,,
706863,,no v2,,,,
707179,ONB,ok,69.0,28.0,2.0,0.0
708781,,no v2,,,,
708821,PAR,ok,65.0,28.0,4.0,0.0
708955,FFBC,ok,66.0,1.0,0.0,0.0
709283,,no v2,,,,
709337,FMNB,ok,65.0,28.0,7.0,0.0
711377,NEOG,ok,64.0,28.0,4.0,0.0
711669,,no v2,,,,
712034,ACCO,ok,65.0,28.0,4.0,0.0
712534,FRME,ok,65.0,28.0,2.0,0.0
712537,FCF,ok,68.0,28.0,1.0,0.0
712770,,no v2,,,,
712771,CNOB,ok,37.0,27.0,5.0,0.0
714256,,no v2,,,,
714310,VLY,ok,69.0,28.0,3.0,0.0
714395,GABC,ok,65.0,28.0,7.0,0.0
714562,THFF,ok,65.0,1.0,0.0,2.0
715072,RNST,ok,65.0,28.0,2.0,0.0
715579,,no v2,,,,
715787,TILE,ok,65.0,28.0,1.0,0.0
716314,,no v2,,,,
716634,,no v2,,,,
716643,,no v2,,,,
717423,MUR,ok,71.0,27.0,2.0,0.0
717538,,no v2,,,,
717605,HXL,ok,69.0,26.0,0.0,0.0
717720,,no v2,,,,
717954,UNF,ok,67.0,28.0,2.0,0.0
718413,,no v2,,,,
718937,STAA,ok,72.0,28.0,4.0,0.0
719135,,no v2,,,,
719220,STBA,ok,65.0,1.0,0.0,1.0
719402,,no v2,,,,
719413,HL,ok,61.0,28.0,3.0,1.0
720500,,no v2,,,,
720672,SF,ok,69.0,28.0,2.0,0.0
720858,,no v2,,,,
721994,LKFN,ok,65.0,28.0,1.0,0.0
723188,CBU,ok,65.0,28.0,0.0,2.0
723603,,no v2,,,,
723612,CAR,ok,66.0,28.0,5.0,0.0
723646,,no v2,,,,
724004,,no v2,,,,
724910,,no v2,,,,
725363,,no v2,,,,
726601,,no v2,,,,
726854,CHCO,ok,65.0,28.0,0.0,0.0
726958,CASY,ok,69.0,26.0,0.0,0.0
727273,,no v2,,,,
728387,,no v2,,,,
729580,BELFA,ok,65.0,0.0,3.0,0.0
729986,UBSI,ok,69.0,28.0,4.0,4.0
730263,THO,ok,68.0,28.0,0.0,0.0
730272,RGEN,ok,65.0,28.0,0.0,22.0
730464,CVSA,ok,68.0,28.0,1.0,11.0
730708,SBCF,ok,65.0,28.0,4.0,0.0
731012,HCSG,ok,66.0,28.0,2.0,0.0
733269,RAMP,ok,69.0,28.0,3.0,0.0
733590,,no v2,,,,
736772,CCNE,ok,65.0,28.0,7.0,0.0
737468,WASH,ok,64.0,28.0,8.0,1.0
737758,TTC,ok,69.0,1.0,0.0,0.0
738214,,no v2,,,,
739421,,no v2,,,,
740664,,no v2,,,,
742278,RES,ok,65.0,28.0,6.0,2.0
743367,,no v2,,,,
744187,,no v2,,,,
744218,CLDX,ok,64.0,22.0,4.0,43.0
745308,JOE,ok,69.0,28.0,2.0,0.0
746598,BRC,ok,68.0,28.0,1.0,0.0
746838,UIS,ok,69.0,28.0,2.0,0.0
748268,,no v2,,,,
750577,HWC,ok,69.0,28.0,1.0,0.0
750686,CAC,ok,65.0,28.0,5.0,0.0
751364,NNN,ok,68.0,28.0,0.0,4.0
751365,,no v2,,,,
751978,VICR,ok,65.0,28.0,4.0,0.0
752642,UMH,ok,67.0,28.0,5.0,2.0
752714,MGRC,ok,65.0,28.0,2.0,0.0
755001,UTL,ok,66.0,28.0,1.0,0.0
760498,BANF,ok,65.0,28.0,6.0,0.0
761648,,no v2,,,,
763532,,no v2,,,,
763563,,no v2,,,,
763744,LCII,ok,65.0,28.0,2.0,0.0
763907,,no v2,,,,
764038,SSB,ok,65.0,5.0,0.0,0.0
764065,CLF,ok,73.0,28.0,3.0,0.0
764401,,no v2,,,,
765207,,no v2,,,,
766011,,no v2,,,,
766421,ALK,ok,68.0,12.0,0.0,0.0
766829,HTO,ok,65.0,28.0,3.0,1.0
767405,,no v2,,,,
768899,TBI,ok,38.0,28.0,4.0,0.0
769520,MIDD,ok,71.0,26.0,1.0,0.0
771266,,no v2,,,,
771497,ABM,ok,35.0,28.0,3.0,0.0
771856,,no v2,,,,
772406,CRUS,ok,65.0,28.0,0.0,0.0
775158,OSK,ok,69.0,28.0,0.0,0.0
775215,HBT,ok,32.0,28.0,6.0,0.0
776901,INDB,ok,65.0,1.0,0.0,0.0
778164,,no v2,,,,
780571,ITRI,ok,69.0,28.0,3.0,0.0
783324,,no v2,,,,
783412,,no v2,,,,
784199,AORT,ok,66.0,28.0,3.0,0.0
784977,POR,ok,69.0,28.0,3.0,0.0
785161,EHC,ok,38.0,28.0,0.0,0.0
785557,,no v2,,,,
785786,PLXS,ok,69.0,28.0,2.0,0.0
785956,JJSF,ok,68.0,1.0,0.0,0.0
788329,,no v2,,,,
788920,,no v2,,,,
788965,,no v2,,,,
789460,WKC,ok,69.0,28.0,2.0,0.0
789933,,no v2,,,,
790051,CSL,ok,69.0,28.0,0.0,0.0
790359,NBTB,ok,69.0,28.0,1.0,0.0
790526,RDNT,ok,64.0,27.0,5.0,14.0
790816,,no v2,,,,
791963,OPY,ok,65.0,14.0,2.0,0.0
792966,,no v2,,,,
792987,ASTE,ok,69.0,28.0,2.0,0.0
793074,WERN,ok,69.0,28.0,3.0,0.0
793524,,no v2,,,,
793733,SKYW,ok,66.0,28.0,2.0,0.0
793952,HOG,ok,77.0,26.0,0.0,0.0
794170,TOL,ok,35.0,28.0,0.0,0.0
794367,M,ok,73.0,26.0,0.0,0.0
795266,KBH,ok,68.0,28.0,1.0,0.0
795403,WTS,ok,77.0,28.0,2.0,0.0
796505,,no v2,,,,
796534,,no v2,,,,
797721,VSAT,ok,69.0,28.0,1.0,0.0
798081,,no v2,,,,
798287,,no v2,,,,
798359,CSR,ok,65.0,24.0,2.0,0.0
798783,,no v2,,,,
799167,MRTN,ok,65.0,28.0,3.0,0.0
799233,,no v2,,,,
799288,LE,ok,55.0,27.0,6.0,0.0
799292,MHO,ok,64.0,28.0,1.0,0.0
799850,CRMT,ok,65.0,26.0,2.0,0.0
800457,,no v2,,,,
801337,CIK801337,ok,69.0,27.0,0.0,5.0
802481,PPC,ok,68.0,28.0,0.0,0.0
803164,,no v2,,,,
805676,PRK,ok,69.0,28.0,4.0,9.0
805928,,no v2,,,,
807863,,no v2,,,,
807882,JACK,ok,52.0,28.0,2.0,0.0
808439,,no v2,,,,
810136,PLAB,ok,65.0,28.0,3.0,0.0
810332,RJET,ok,39.0,2.0,0.0,0.0
810958,,no v2,,,,
811589,FBNC,ok,65.0,1.0,0.0,0.0
811596,KALU,ok,69.0,28.0,1.0,4.0
812011,MTN,ok,67.0,13.0,0.0,0.0
812074,OI,ok,73.0,28.0,2.0,0.0
813298,,no v2,,,,
814453,NWL,ok,69.0,13.0,0.0,0.0
814585,,no v2,,,,
814586,,no v2,,,,
816761,TDC,ok,70.0,28.0,0.0,0.0
816956,CNMD,ok,65.0,28.0,2.0,1.0
817720,SYNA,ok,68.0,28.0,2.0,6.0
818033,,no v2,,,,
818479,XRAY,ok,73.0,10.0,0.0,3.0
819793,AIN,ok,70.0,28.0,2.0,0.0
820318,COHR,ok,68.0,25.0,3.0,4.0
821002,GIII,ok,65.0,27.0,1.0,5.0
821026,ANDE,ok,69.0,28.0,3.0,0.0
821483,PARR,ok,63.0,27.0,3.0,0.0
