date,open,high,low,close,adjclose,volume
2016-09-19,214.1300048828125,214.8800048828125,213.02999877929688,213.41000366210938,182.2511749267578,80250500
2016-09-20,214.41000366210938,214.58999633789062,213.3800048828125,213.4199981689453,182.25967407226562,69665300
2016-09-21,214.24000549316406,216.02999877929688,213.44000244140625,215.82000732421875,184.3092803955078,110284400
2016-09-22,217.0,217.52999877929688,216.7100067138672,217.17999267578125,185.470703125,76678700
2016-09-23,216.72000122070312,216.8800048828125,215.8800048828125,215.99000549316406,184.45445251464844,73630900
2016-09-26,215.02000427246094,215.22999572753906,214.00999450683594,214.24000549316406,182.95997619628906,89827300
2016-09-27,214.0500030517578,215.67999267578125,213.6199951171875,215.57000732421875,184.09579467773438,78494800
2016-09-28,215.8300018310547,216.82000732421875,214.7100067138672,216.63999938964844,185.00955200195312,87411000
2016-09-29,216.39999389648438,216.8699951171875,214.0399932861328,214.67999267578125,183.33575439453125,128070600
2016-09-30,215.64999389648438,217.1199951171875,215.36000061035156,216.3000030517578,184.71917724609375,117202900
2016-10-03,215.82000732421875,216.0399932861328,215.0399932861328,215.77999877929688,184.275146484375,83512100
2016-10-04,215.91000366210938,216.1699981689453,213.99000549316406,214.67999267578125,183.33575439453125,119948100
2016-10-05,215.41000366210938,216.1300048828125,215.3300018310547,215.6300048828125,184.14703369140625,72816000
2016-10-06,215.3699951171875,216.0399932861328,214.74000549316406,215.77999877929688,184.275146484375,62927400
2016-10-07,216.10000610351562,216.3000030517578,214.19000244140625,215.0399932861328,183.64321899414062,89788300
2016-10-10,216.16000366210938,216.6999969482422,215.99000549316406,216.16000366210938,184.59963989257812,51855000
2016-10-11,215.66000366210938,215.74000549316406,212.5800018310547,213.42999267578125,182.26821899414062,130367400
2016-10-12,213.58999633789062,214.32000732421875,213.00999450683594,213.7100067138672,182.50738525390625,73866100
2016-10-13,212.16000366210938,213.58999633789062,211.2100067138672,213.00999450683594,181.9095458984375,101357000
2016-10-14,214.14999389648438,214.69000244140625,213.02999877929688,213.1199951171875,182.00347900390625,93346200
2016-10-17,213.08999633789062,213.38999938964844,212.1699981689453,212.3800048828125,181.37156677246094,58275700
2016-10-18,214.24000549316406,214.30999755859375,213.27000427246094,213.7100067138672,182.50738525390625,76869700
2016-10-19,214.02000427246094,214.63999938964844,213.60000610351562,214.27999877929688,182.99411010742188,66519200
2016-10-20,213.8699951171875,214.52999877929688,213.11000061035156,213.8800048828125,182.6525421142578,73639800
2016-10-21,213.8800048828125,214.0800018310547,212.75999450683594,213.97999572753906,182.7379150390625,89089100
2016-10-24,215.0,215.32000732421875,214.47999572753906,214.88999938964844,183.5150604248047,60146600
2016-10-25,214.67999267578125,214.97999572753906,213.97999572753906,214.1699981689453,182.90023803710938,66542300
2016-10-26,213.2100067138672,214.4199981689453,212.92999267578125,213.74000549316406,182.53302001953125,75705500
2016-10-27,214.5800018310547,214.6199951171875,213.0800018310547,213.1699981689453,182.0461883544922,77220200
2016-10-28,213.13999938964844,213.92999267578125,211.7100067138672,212.5399932861328,181.5081329345703,140623200
