h,n,模型盈餘誤差pp,不變假設盈餘誤差pp,模型較準比例
6,7915,0.4140,0.5015,0.6253
12,7507,0.8244,0.9621,0.6196
24,6693,1.2754,1.5791,0.6325
36,5889,1.6385,2.2081,0.6762
