期間,h,方法,n,公司數,中位絕對誤差,平均絕對誤差,偏誤,方向命中,橫斷面排序相關
保留期2022-26,12,模型（股價不動）,2030,62,0.2909,0.4144,-0.2149,0.5857,0.6742
保留期2022-26,12,隨機漫步,2030,62,0.2958,0.4468,-0.0517,,0.6536
保留期2022-26,12,歷史均值(5y),2030,62,0.3067,0.4223,0.0107,0.6414,0.6536
保留期2022-26,12,同業中位數,2030,62,0.3498,0.4631,-0.0732,0.5906,0.2911
保留期2022-26,24,模型（報酬＝資金成本）,1348,62,0.3726,0.4757,-0.2944,0.5883,0.5344
保留期2022-26,24,模型（報酬＝過去10年中位）,1348,62,0.3073,0.4065,-0.1032,0.7085,0.5344
保留期2022-26,24,模型（股價不動）,1348,62,0.4866,0.5795,-0.4638,0.4852,0.5344
保留期2022-26,24,隨機漫步,1348,62,0.3497,0.5194,-0.1520,,0.5654
保留期2022-26,24,歷史均值(5y),1348,62,0.3729,0.4655,-0.0439,0.6721,0.5461
保留期2022-26,24,同業中位數,1348,62,0.3899,0.5007,-0.1183,0.6128,0.2216
保留期2022-26,36,模型（報酬＝資金成本）,653,61,0.3674,0.4950,-0.3263,0.6646,0.3996
保留期2022-26,36,模型（報酬＝過去10年中位）,653,61,0.3205,0.4082,-0.0253,0.7764,0.3996
保留期2022-26,36,模型（股價不動）,653,61,0.5633,0.6668,-0.5517,0.4701,0.3996
保留期2022-26,36,隨機漫步,653,61,0.4545,0.5939,-0.2290,,0.4521
保留期2022-26,36,歷史均值(5y),653,61,0.4121,0.5118,-0.0440,0.6907,0.4661
保留期2022-26,36,同業中位數,653,61,0.4410,0.5360,-0.2161,0.6156,0.1631
