ticker,name,mc,px,industry
PTRN,Pattern Group Inc. Series A Common Stock,3.43445e+09,19.36,Consumer Discretionary
ELVN,Enliven Therapeutics Inc. Common Stock,3.37705e+09,46.09,Health Care
PDI,PIMCO Dynamic Income Fund Common Stock,3.36923e+09,13.86,Finance
PURR,Hyperliquid Strategies Inc Common Stock,3.31659e+09,13.94,Finance
NESR,National Energy Services Reunited Corp Ordinary Shares,3.30895e+09,32.81,Energy
CSQ,Calamos Strategic Total Return Common Stock,3.29692e+09,20.75,Finance
GBDC,Golub Capital BDC Inc. Common Stock,3.23266e+09,12.45,Finance
FRMI,Fermi Inc. Common Stock,3.08705e+09,4.82,Real Estate
FSK,FS KKR Capital Corp. Common Stock,3.08672e+09,11.17,Finance
QS,QuantumScape Corporation Class A Common Stock,3.03985e+09,4.91,Miscellaneous
DYN,Dyne Therapeutics Inc. Common Stock,3.03089e+09,16.23,Health Care
NAN,Nuveen New York Quality Municipal Income Fund Common Stock,3.02618e+09,10.01,Finance
DX,Dynex Capital Inc. Common Stock,2.911e+09,11.73,Real Estate
MBX,MBX Biosciences Inc. Common Stock,2.78799e+09,57.89,Health Care
LFTO,Liftoff Mobile Inc. Common Stock,2.72454e+09,16.09,Technology
TOWN,TowneBank Common Stock,2.69145e+09,36.07,Finance
MGEE,MGE Energy Inc,2.67738e+09,70.86,Energy
PGEN,Precigen Inc. Common Stock,2.66378e+09,7.44,Health Care
GDV,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,2.60104e+09,28.84,Finance
IRON,Disc Medicine Inc. Common Stock,2.53738e+09,66.09,Health Care
BANR,Banner Corporation Common Stock,2.49405e+09,68.07,Finance
TTAM,Titan America SA Common Shares,2.48889e+09,13.5,Industrials
ARR,ARMOUR Residential REIT Inc.,2.43962e+09,14.6,Real Estate
VIA,Via Transportation Inc. Class A Common Stock,2.40768e+09,29.54,Technology
VERA,Vera Therapeutics Inc. Class A Common Stock,2.38169e+09,33.05,Health Care
MLYS,Mineralys Therapeutics Inc. Common Stock,2.37726e+09,26.89,Health Care
SLS,SELLAS Life Sciences Group Inc. Common Stock,2.32641e+09,11.52,Health Care
BGR,BlackRock Energy and Resources Trust,2.3253e+09,17.15,Finance
ALMR,Alamar Biosciences Inc. Common Stock,2.23028e+09,32.14,Industrials
UNIT,Uniti Group Inc. Common Stock,2.22336e+09,9.16,Real Estate
LIFE,Ethos Technologies Inc. Class A Common Stock,2.16208e+09,33.91,Finance
PVLA,Palvella Therapeutics Inc. Common Stock,2.15492e+09,149.56,Health Care
GENB,Generate Biomedicines Inc. Common Stock,2.12038e+09,16.52,Health Care
BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,2.11745e+09,8.98,Uncategorized
EMAT,Evolution Metals & Technologies Corp. Common Stock,2.08426e+09,3.335,Miscellaneous
SHAZ,SharonAI Holdings Inc. Class A Common Stock,2.06694e+09,57.73,Technology
BHVN,Biohaven Ltd. Common Shares ,2.06477e+09,13.67,Health Care
TRVI,Trevi Therapeutics Inc. Common Stock,2.0602e+09,14.46,Health Care
STUB,StubHub Holdings Inc. Class A Common Stock,2.0289e+09,5.31,Consumer Discretionary
MFP,Midera Food Processing Inc. Common Stock,2.02632e+09,44.8,Industrials
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,1.98104e+09,21.26,Basic Materials
KOD,Kodiak Sciences Inc Common Stock,1.98101e+09,31.52,Health Care
TIC,TIC Solutions Inc. Common Stock,1.94871e+09,8.93,Consumer Discretionary
BRVE,Braveheart Bio Inc. Common Stock,1.93224e+09,21.46,Health Care
KYN,Kayne Anderson Energy Infrastructure Fund Inc.,1.93035e+09,14.18,Finance
BRSL,Brightstar Lottery PLC Trading under the Legal Name to begin at the market open on July 21 2025. Ordinary Shares,1.89297e+09,10.26,Consumer Discretionary
TY,Tri Continental Corporation Common Stock,1.88054e+09,34.6,Finance
RVT,Royce Small-Cap Trust Inc. Common Stock,1.86981e+09,17.32,Finance
LIME,Neutron Holdings Inc. Common Stock,1.85855e+09,28.6,Technology
HOS,Hornbeck Offshore Services Inc. Common Stock,1.85509e+09,8.35,Energy
MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,1.74945e+09,11.76,Finance
PDO,PIMCO Dynamic Income Opportunities Fund Common Shares of Beneficial Interest,1.74431e+09,11.68,Finance
COAG,Hemab Therapeutics Holdings Inc. Common Stock,1.71574e+09,36.73,Health Care
KLRA,Kailera Therapeutics Inc. Common Stock,1.70222e+09,13.13,Health Care
BDJ,Blackrock Enhanced Equity Dividend Trust,1.69024e+09,9.55,Finance
MUJ,Blackrock MuniHoldings New Jersey Quality Fund Inc. Common Stock,1.68994e+09,11.36,Finance
FRNM,Freenome Inc. Common stock,1.68691e+09,15.7,Health Care
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,1.67836e+09,15.36,Finance
RAPP,Rapport Therapeutics Inc. Common Stock,1.6375e+09,34.13,Health Care
TYRA,Tyra Biosciences Inc. Common Stock,1.5972e+09,23.23,Health Care
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,1.57986e+09,10.62,Finance
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,1.57242e+09,10.57,Finance
ADIG,ADI Global Distribution Inc. Common Stock,1.57009e+09,20.68,Industrials
GAB,Gabelli Equity Trust Inc. (The) Common Stock,1.56311e+09,5.32,Finance
MAZE,Maze Therapeutics Inc. Common Stock,1.56038e+09,28.09,Health Care
GAM,General American Investors Inc. Common Stock,1.55362e+09,64.8,Finance
HAWK,HawkEye 360 Inc. Common Stock,1.55079e+09,15.83,Technology
PBT,Permian Basin Royalty Trust Common Stock,1.54368e+09,33.12,Energy
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,1.54309e+09,14.27,Finance
WLTH,Wealthfront Corporation Common Stock,1.53678e+09,9.84,Finance
OXLC,Oxford Lane Capital Corp. Common Stock,1.52768e+09,8.8,Finance
