ticker,name,mc,px,industry
SVIA,Silvia Inc. Common Stock,3.39771e+08,4.03,Finance
TCPC,BlackRock TCP Capital Corp. Common Stock,3.38967e+08,4.04,Finance
BBOT,BridgeBio Oncology Therapeutics Inc. Common Stock  ,3.33525e+08,4.16,Health Care
EGHT,8x8 Inc Common Stock,3.30757e+08,2.29,Technology
KTF,DWS Municipal Income Trust,3.27858e+08,8.3,Finance
PPT,Franklin Premier Income Trust Shares of Beneficial Interest,3.25457e+08,3.27,Finance
PMO,Franklin Municipal Opportunities Trust Shares of Beneficial Interest,3.20106e+08,9.42,Finance
EVMN,Evommune Inc. Common Stock,3.18282e+08,8.77,Health Care
ABEO,Abeona Therapeutics Inc. Common Stock,3.16228e+08,5.53,Health Care
SUJA,Suja Life Inc. Class A Common Stock,3.11704e+08,8.07,Consumer Staples
AIRJ,AirJoule Technologies Corporation Class A Common Stock,3.11357e+08,4.14,Industrials
HRZN,Horizon Technology Finance Corporation Common Stock,3.09026e+08,4.61,Finance
SABS,SAB Biotherapeutics Inc. Common Stock,3.08444e+08,3.39,Health Care
MOBI,Mobia Medical Inc. Common Stock,3.04946e+08,9.16,Health Care
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,3.03995e+08,10.45,Finance
CATX,Perspective Therapeutics Inc. Common Stock,2.99077e+08,2.62,Health Care
NREF,NexPoint Real Estate Finance Inc. Common Stock,2.97987e+08,15.81,Real Estate
FUND,Sprott Focus Trust Inc. Common Stock,2.94854e+08,9.95,Finance
LXEO,Lexeo Therapeutics Inc. Common Stock,2.88803e+08,3.52,Health Care
GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,2.87352e+08,12.83,Finance
QTTB,Q32 Bio Inc. Common Stock,2.84596e+08,9.56,Health Care
IMRX,Immuneering Corporation Class A Common Stock,2.83375e+08,4.38,Health Care
RWAY,Runway Growth Finance Corp. Common Stock,2.82473e+08,6.74,Finance
SAR,Saratoga Investment Corp New,2.80773e+08,17.46,Finance
PMM,Franklin Managed Municipal Income Trust Shares of Beneficial Interest,2.74887e+08,5.64,Finance
REFI,Chicago Atlantic Real Estate Finance Inc. Common Stock,2.7389e+08,10.69,Real Estate
MIN,Aberdeen Intermediate Income Fund Common Shares of Beneficial Interest,2.71159e+08,2.36,Finance
PYXS,Pyxis Oncology Inc. Common Stock,2.68574e+08,3.22,Health Care
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,2.67646e+08,11.68,Finance
OIA,Invesco Municipal Income Opportunities Trust Common Stock,2.64687e+08,5.56,Finance
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,2.61665e+08,25.25,Finance
USAU,U.S. Gold Corp. Common Stock,2.58674e+08,15.65,Basic Materials
GLSI,Greenwich LifeSciences Inc. Common Stock,2.57015e+08,17.51,Health Care
MMT,Aberdeen Multi-Market Income Fund Common Shares of Beneficial Interest,2.56653e+08,4.31,Finance
VPV,Invesco Pennsylvania Value Municipal Income Trust Common Stock (DE),2.56168e+08,10.75,Finance
BNC,CEA Industries Inc. Common Stock,2.51572e+08,6.11,Consumer Staples
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,2.51488e+08,12.81,Finance
XLAB,Exascale Labs Holdings Inc. Class A Common Stock,2.508e+08,2.75,Technology
SION,Sionna Therapeutics Inc. Common Stock,2.4912e+08,5.51,Health Care
TG,Tredegar Corporation Common Stock,2.44959e+08,7.01,Industrials
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,2.43905e+08,15.61,Finance
QMLS,QumulusAI Inc. Common Stock,2.38225e+08,7.12,Technology
LIEN,Chicago Atlantic BDC Inc. Common Stock,2.36193e+08,10.35,Finance
KGEI,Kolibri Global Energy Inc. Common stock,2.32606e+08,6.47,Energy
AIAI,AIAI Holdings Corporation Class A Common Stock,2.31665e+08,3.27,Technology
YDES,YD Bio Limited Ordinary Shares,2.28785e+08,3.23,Health Care
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,2.22661e+08,16.7,Finance
PNNT,PennantPark Investment Corporation Common Stock,2.2266e+08,3.41,Finance
ELDN,Eledon Pharmaceuticals Inc. Common Stock,2.2103e+08,2.72,Health Care
NSLR,Neostellar Capital Corp. Common Stock,2.19463e+08,8.29,Finance
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,2.18593e+08,5.41,Finance
AVXL,Anavex Life Sciences Corp. Common Stock,2.17838e+08,2.35,Health Care
ECC,Eagle Point Credit Company Common Share of Beneficial Interest,2.16565e+08,3.57,Finance
APC,ARKO Petroleum Corp. Class A Common Stock,2.13317e+08,16.97,Energy
CMPX,Compass Therapeutics Inc. Common Stock,2.10703e+08,1.17,Health Care
TARA,Protara Therapeutics Inc.  Common Stock,2.09198e+08,3.54,Health Care
MFM,Aberdeen Municipal Income Fund Common Shares of Beneficial Interest,2.06762e+08,5.02,Finance
ALXO,ALX Oncology Holdings Inc. Common Stock,2.03267e+08,1.47,Health Care
ESOA,Energy Services of America Corporation Common Stock,2.01519e+08,10.8,Industrials
NKTX,Nkarta Inc. Common Stock,1.97684e+08,2.76,Health Care
MITT,TPG Mortgage Investment Trust Inc. Common Stock,1.96864e+08,6.19,Real Estate
SES,SES AI Corporation Class A Common Stock,1.94258e+08,0.523,Miscellaneous
USBC,USBC Inc. Common Stock,1.9349e+08,0.5,Finance
PEPG,PepGen Inc. Common Stock,1.88386e+08,2.72,Health Care
VTN,Invesco Trust for Investment Grade New York Municipals Common Stock,1.85312e+08,9.51,Finance
ANNA,AleAnna Inc. Class A Common Stock,1.8407e+08,2.75,Energy
NUCL,Eagle Nuclear Energy Corp. Common stock,1.83986e+08,6.22,Basic Materials
ANTX,AN2 Therapeutics Inc. Common Stock,1.82266e+08,4.83,Health Care
FT,Franklin Universal Trust Common Stock,1.79944e+08,7.16,Finance
MRLN,Merlin Inc. Common Stock,1.7889e+08,1.77,Technology
CNTN,Canton Strategic Holdings Inc. Common Stock,1.78486e+08,2.24,Health Care
SAFX,XCF Global Inc. Class A Common Stock,1.76626e+08,0.425,Industrials
MPV,Barings Participation Investors Common Stock,1.74027e+08,16.42,Finance
GRX,The Gabelli Healthcare & Wellness Trust Common Shares of Beneficial Interest,1.67511e+08,9.8,Finance
ABOS,Acumen Pharmaceuticals Inc. Common Stock,1.66691e+08,2.305,Health Care
NERV,Minerva Neurosciences Inc Common Stock,1.66639e+08,3.49,Health Care
GNT,GAMCO Natural Resources Gold & Income Trust,1.63508e+08,8.85,Finance
OTLK,Outlook Therapeutics Inc. Common Stock,1.61089e+08,0.662,Health Care
EARN,Ellington Credit Company Common Shares of Beneficial Interest,1.58124e+08,4.21,Real Estate
WHF,WhiteHorse Finance Inc. Common Stock,1.52483e+08,7.1,Finance
PIM,Franklin Master Intermediate Income Trust Shares of Beneficial Interest,1.51263e+08,3.01,Finance
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,1.49702e+08,7.74,Health Care
BANX,ArrowMark Financial Corp. Common Stock,1.49262e+08,21.02,Finance
TNYA,Tenaya Therapeutics Inc. Common Stock,1.48283e+08,0.661,Health Care
PAAC,Proem Acquisition Corp I Ordinary Shares,1.45683e+08,10.07,Finance
NXG,NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,1.4528e+08,55.84,Uncategorized
RNA,Atrium Therapeutics Inc. Common Stock,1.4249e+08,8.33,Health Care
SJT,San Juan Basin Royalty Trust Common Stock,1.40759e+08,3.02,Energy
MNOV,Medicinova Inc Common Stock,1.37819e+08,2.8,Health Care
NMRA,Neumora Therapeutics Inc. Common Stock,1.37408e+08,0.731,Health Care
NRXP,NRX Pharmaceuticals Inc. Common Stock,1.36815e+08,3.16,Health Care
OXSQ,Oxford Square Capital Corp. Common Stock,1.36789e+08,1.27,Finance
ARMP,Armata Pharmaceuticals Inc. Common Stock,1.35342e+08,3.64,Health Care
UNCY,Unicycive Therapeutics Inc. Common Stock,1.33984e+08,4.81,Health Care
HYNE,Hoyne Bancorp Inc. Common Stock,1.33114e+08,16.44,Finance
WALD,Waldencast plc Class A Ordinary Share,1.31173e+08,1.02,Consumer Discretionary
IMUX,Immunic Inc. Common Stock,1.27849e+08,9.37,Health Care
GLND,Greenland Energy Company Common Stock,1.27255e+08,2.91,Energy
NAUT,Nautilus Biotechnology Inc. Common Stock,1.21389e+08,0.954,Industrials
JHS,John Hancock Income Securities Trust Common Stock,1.21299e+08,10.42,Finance
OKUR,OnKure Therapeutics Inc. Class A Common Stock,1.19059e+08,2.94,Health Care
CNXU,Conexeu Sciences Inc. Common Stock,1.1875e+08,4.21,Health Care
GNLX,Genelux Corporation Common Stock,1.13792e+08,2.515,Health Care
HOVR,New Horizon Aircraft Ltd. Class A Ordinary Share,1.13439e+08,1.69,Industrials
SUIG,Sui Group Holdings Limited Common Stock,1.129e+08,1.47,Finance
EQ,Equillium Inc. Common Stock,1.10964e+08,1.75,Health Care
VANI,Vivani Medical Inc. Common Stock (DE),1.1095e+08,1.23,Health Care
DMRC,Digimarc Corporation Common Stock,1.10803e+08,4.93,Technology
GGT,Gabelli Multi-Media Trust Inc. (The) Common Stock,1.10694e+08,4.02,Finance
FEAM,5E Advanced Materials Inc. Common Stock,1.09949e+08,2.64,Industrials
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,1.09589e+08,18.36,Finance
PAL,Proficient Auto Logistics Inc. Common Stock,1.08284e+08,3.86,Consumer Discretionary
JHI,John Hancock Investors Trust Common Stock,1.07558e+08,12.3,Finance
PLYX,Polaryx Therapeutics Inc. Common Stock,1.0667e+08,2.14,Health Care
BMEA,Biomea Fusion Inc. Common Stock,1.04377e+08,1.44,Health Care
PMVP,PMV Pharmaceuticals Inc. Common Stock,1.03456e+08,1.37,Health Care
FJET,Starfighters Space Inc. Common Stock,1.02843e+08,1.87,Consumer Discretionary
ILLU,Illumination Acquisition Corp I Class A Ordinary Shares,1.02442e+08,9.98,Finance
HDRN,Hadron Energy Inc. Common Stock  ,1.00098e+08,1.4,Utilities
USGO,U.S. GoldMining Inc. Common stock,9.9373e+07,7.08,Basic Materials
AVAT,Avalanche Treasury Corporation Class A Common Stock,9.66222e+07,2.21,Finance
PARK,Park Dental Partners Inc. Common Stock,9.59616e+07,20.18,Health Care
ANIX,Anixa Biosciences Inc. Common Stock,9.56005e+07,2.75,Health Care
CTOR,Citius Oncology Inc. Common Stock,9.3911e+07,1.01,Health Care
PFX,PhenixFIN Corporation Common Stock,9.05037e+07,46.862,Finance
CGTX,Cognition Therapeutics Inc. Common Stock,9.03391e+07,0.95,Health Care
MGF,Aberdeen Government Markets Income Fund Common Shares of Beneficial Interest,8.83389e+07,2.71,Finance
ACRV,Acrivon Therapeutics Inc. Common Stock,8.82779e+07,2.06,Health Care
BCIC,BCP Investment Corporation Common Stock,8.79239e+07,7.1,Finance
RPT,Rithm Property Trust Inc. Common stock,8.65086e+07,11.13,Real Estate
EVF,Eaton Vance Senior Income Trust Common Stock,8.54142e+07,4.87,Finance
EIC,Eagle Point Income Company Common Shares of Beneficial Interest,8.50724e+07,9.55,Finance
GCV,Gabelli Convertible and Income Securities Fund Inc. (The) Common Stock,8.43473e+07,4.43,Finance
TELO,Telomir Pharmaceuticals Inc. Common Stock,8.39054e+07,1.22,Health Care
SSBI,Summit State Bank Common Stock,8.23371e+07,12.34,Finance
ALDX,Aldeyra Therapeutics Inc. Common Stock,8.14407e+07,1.35,Health Care
NRT,North European Oil Royality Trust Common Stock,8.11529e+07,8.83,Energy
GANX,Gain Therapeutics Inc. Common Stock,8.03043e+07,1.84,Health Care
ROC,Rank One Computing Corporation Common stock,7.97549e+07,4.18,Technology
ACET,Adicet Bio Inc. Common Stock,7.9479e+07,8.49,Health Care
SEV,Aptera Motors Corp. Class B Common Stock,7.94645e+07,1.96,Industrials
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,7.94341e+07,11.3,Finance
SKYA,SkyAI Inc. Common Stock,7.8278e+07,1.81,Health Care
ETS,Elite Express Holding Inc. Class A Common Stock,7.74595e+07,1.59,Industrials
GUTS,Fractyl Health Inc. Common Stock,7.72977e+07,0.486,Health Care
BLUW,Blue Water Acquisition Corp. III Class A Ordinary Shares,7.50589e+07,10.36,Uncategorized
AMCI,AMC Robotics Corporation Common Stock,7.49567e+07,3.23,Consumer Discretionary
KLRS,Kalaris Therapeutics Inc. Common Stock,7.42715e+07,3.12,Health Care
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,7.4224e+07,5.84,Finance
IOR,Income Opportunity Realty Investors Inc. Common Stock,7.41264e+07,18.23,Real Estate
GECC,Great Elm Capital Corp. Common Stock,7.36157e+07,5.3,Finance
RNXT,RenovoRx Inc. Common Stock,7.35611e+07,1.63,Health Care
CING,Cingulate Inc. Common Stock,7.24183e+07,4.98,Health Care
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,7.17425e+07,10.2,Finance
TENX,Tenax Therapeutics Inc. Common Stock,7.11054e+07,1.9,Health Care
CRT,Cross Timbers Royalty Trust Common Stock,7.098e+07,11.83,Energy
PLRX,Pliant Therapeutics Inc. Common Stock,6.96621e+07,1.125,Health Care
ESYN,EnerSyn Global Inc. Common Stock,6.83707e+07,2.3,Health Care
WWR,Westwater Resources Inc. Common Stock,6.81394e+07,0.53,Basic Materials
FRMM,Forum Markets Incorporated Common Stock,6.78426e+07,5.14,Finance
BSEM,BioStem Technologies Inc. Common Stock,6.7828e+07,3.8,Health Care
APLM,Apollomics Inc. Class A Ordinary Shares,6.77676e+07,23.4,Health Care
XBIT,XBiotech Inc. Common Stock,6.64633e+07,2.18,Health Care
GRML,Greenland Mines Ltd. Common Stock,6.54668e+07,11.19,Health Care
DXR,Daxor Corporation Common Stock,6.31404e+07,10.82,Health Care
INKT,MiNK Therapeutics Inc. Common Stock,6.30221e+07,12.35,Health Care
CAST,FreeCast Inc. Class A Common Stock,6.23312e+07,1.31,Technology
ELOX,Eloxx Pharmaceuticals Inc. Common Stock,6.23027e+07,15.44,Health Care
BOLD,Boundless Bio Inc. Common Stock,6.14196e+07,2.7,Health Care
XPL,Solitario Resources Corp. Common Stock,6.0617e+07,0.64,Basic Materials
PDSB,PDS Biotechnology Corporation Common Stock,5.97115e+07,0.824,Health Care
EXOZ,eXoZymes Inc. Common Stock,5.92151e+07,6.38,Health Care
STI,Solidion Technology Inc. Common Stock,5.73761e+07,6.74,Miscellaneous
NMAD,Nomad Power Solutions Inc. Common Stock,5.67563e+07,3.53,Health Care
LONA,LeonaBio Inc. Common Stock,5.54936e+07,5.89,Health Care
IMA,ImageneBio Inc. Common Stock,5.4941e+07,4.84,Health Care
EDSA,Edesa Biotech Inc. Common Shares,5.36098e+07,3.97,Health Care
VHUB,VenHub Global Inc. Common Stock,5.15393e+07,0.53,Technology
DWTX,Dogwood Therapeutics Inc. Common Stock,5.13288e+07,1.51,Health Care
FBDT,First Breach Inc. Common Stock,5.10129e+07,0.91,Industrials
TVGN,Tevogen Inc. Common Stock,5.08551e+07,7.81,Health Care
ELTX,Elicio Therapeutics Inc. Common Stock,4.91471e+07,1.87,Health Care
VGAS,Verde Clean Fuels Inc. Class A Common Stock,4.90046e+07,1.1,Industrials
HOWL,Werewolf Therapeutics Inc. Common Stock,4.80839e+07,0.989,Health Care
OFS,OFS Capital Corporation Common Stock,4.76972e+07,3.56,Finance
ELWT,Elauwit Connection Inc. Common Stock,4.7166e+07,7.125,Consumer Discretionary
MLGO,MicroAlgo Inc. Class A Ordinary Shares,4.24117e+07,3.41,Technology
FLNA,Filana Therapeutics Inc. Common Stock,4.20327e+07,0.87,Health Care
VERU,Veru Inc. Common Stock,4.19438e+07,2.46,Health Care
HOLO,MicroCloud Hologram Inc. Ordinary Shares,3.8951e+07,1.7,Technology
XBP,XBP Global Holdings Inc. Common Stock,3.87926e+07,3.265,Technology
VTIX,Virtuix Holdings Inc. Class A Common Stock,3.83876e+07,1.13,Technology
MLCI,Mount Logan Capital Inc. Common Stock,3.72586e+07,3.33,Finance
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,3.71009e+07,1.18,Health Care
MIRA,MIRA Pharmaceuticals Inc. Common Stock,3.60423e+07,0.858,Health Care
NTIP,Network-1 Technologies Inc. Common Stock,3.56666e+07,1.56,Miscellaneous
CNTX,Context Therapeutics Inc. Common Stock,3.5153e+07,0.383,Health Care
AIXC,AIxCrypto Holdings Inc. Common Stock,3.50407e+07,1.66,Finance
TAOX,Tao Synergies Inc. Common Stock,3.2365e+07,4.325,Finance
QNCX,Quince Therapeutics Inc. Common Stock,3.06644e+07,30.15,Health Care
ABVC,ABVC BioPharma Inc. Common Stock,3.0386e+07,1.14,Health Care
RAND,Rand Capital Corporation Common Stock,2.96684e+07,9.99,Finance
CVM,Cel-Sci Corporation Common Stock,2.95495e+07,1.68,Health Care
RNAZ,TransCode Therapeutics Inc. Common Stock,2.84436e+07,1.68,Health Care
LFT,Lument Finance Trust Inc. Common Stock,2.76602e+07,5.27,Real Estate
GRDX,GridAI Technologies Corp. Common Stock,2.75261e+07,3.86,Health Care
OCCI,OFS Credit Company Inc. Common Stock,2.71826e+07,2.34,Finance
NOMA,NOMADAR Corp. Class A Common Stock,2.38423e+07,1.56,Consumer Discretionary
COCP,Cocrystal Pharma Inc. Common Stock,2.29232e+07,1.19,Health Care
SKYQ,Sky Quarry Inc. Common Stock,2.24368e+07,2.54,Industrials
NXTC,NextCure Inc. Common Stock,2.20629e+07,4.82,Health Care
BEAT,Heartbeam Inc. Common Stock,2.19142e+07,0.389,Health Care
ATOS,Atossa Therapeutics Inc. Common Stock,2.17549e+07,2.18,Health Care
KRSA,Korsana Biosciences Inc. Common Stock,2.16011e+07,32.3,Health Care
ESLA,Estrella Immunopharma Inc. Common Stock,2.0531e+07,0.472,Health Care
EXYN,Exyn Technologies Inc. Common Stock,1.99644e+07,2.51,Technology
NEUP,Neuphoria Therapeutics Inc. Common Stock,1.99137e+07,3.68,Health Care
CLRB,Cellectar Biosciences Inc.  Common Stock,1.97549e+07,2.09,Health Care
JSPR,Jasper Therapeutics Inc. Common Stock,1.886e+07,0.567,Health Care
RKTO,Rocket One Inc. Common Stock,1.87255e+07,0.752,Health Care
MODD,Modular Medical Inc. Common Stock,1.80948e+07,2.22,Health Care
LTRN,Lantern Pharma Inc. Common Stock,1.777e+07,1.39,Health Care
BFRG,Bullfrog AI Holdings Inc. Common Stock,1.76146e+07,0.95,Health Care
TVRD,Tvardi Therapeutics Inc. Common Stock,1.76074e+07,1.32,Health Care
ACTU,Actuate Therapeutics Inc. Common stock,1.75688e+07,0.732,Health Care
KTTA,Pasithea Therapeutics Corp. Common Stock,1.71316e+07,0.513,Health Care
FUSE,Fusemachines Inc. Common stock,1.68839e+07,0.583,Technology
ALLR,Allarity Therapeutics Inc. Common Stock,1.65472e+07,1.04,Health Care
SDOT,Sadot Group Inc. Common Stock,1.6134e+07,11.09,Consumer Discretionary
PASG,Passage Bio Inc. Common Stock,1.6089e+07,5,Health Care
FABC,Fabric.AI Inc. Common Stock,1.60383e+07,2.29,Consumer Discretionary
HODO,House of Doge Inc. Common Stock,1.56285e+07,0.175,Finance
CTXR,Citius Pharmaceuticals Inc. Common Stock,1.56095e+07,0.569,Health Care
TPST,Tempest Therapeutics Inc. Common Stock,1.52497e+07,0.922,Health Care
BIVI,BioVie Inc. Class A Common Stock,1.37754e+07,1.63,Health Care
EQS,Equus Total Return Inc. Common Stock,1.3686e+07,0.98,Finance
MDBH,MDB Capital Holdings LLC Class A common,1.35966e+07,2.5,Finance
VWAV,VisionWave Holdings Inc. Common Stock,1.3578e+07,5.72,Technology
INTS,Intensity Therapeutics Inc. Common stock,1.3386e+07,4.1,Health Care
AEON,AEON Biopharma Inc. Class A Common Stock,1.31641e+07,0.264,Health Care
CABR,Caring Brands Inc. Common Stock,1.29603e+07,1.25,Consumer Discretionary
GTBP,GT Biopharma Inc. Common Stock,1.28111e+07,7.1,Health Care
ARAI,Arrive AI Inc. Common Stock,1.25904e+07,0.243,Consumer Discretionary
ICMB,Investcorp Credit Management BDC Inc. Common Stock,1.25577e+07,0.87,Finance
PHIO,Phio Pharmaceuticals Corp. Common Stock,1.18496e+07,1.02,Health Care
RAIN,Rain Enhancement Technologies Holdco Inc. Class A Common Stock,1.18211e+07,1.01,Technology
ASBP,Aspire-Lakewood Holdings Inc. Common Stock,1.16833e+07,8.33,Health Care
DETX,Liberty Defense Holdings Ltd. Common Shares,1.16481e+07,2.05,Industrials
GYGY,Game Your Game Inc. Common Stock,1.14416e+07,0.8,Technology
GYRO,Gyrodyne LLC Common Stock,1.10405e+07,5.02,Real Estate
AEMD,Aethlon Medical Inc. Common Stock,1.09239e+07,6.81,Health Care
INAB,IN8bio Inc. Common Stock,1.08442e+07,1.1,Health Care
KALA,KALA BIO Inc. Common Stock,1.08303e+07,0.56,Health Care
TOVX,Theriva Biologics Inc. Common Stock,1.0771e+07,0.23,Health Care
MTVA,MetaVia Inc. Common Stock,1.07386e+07,1.63,Health Care
ADIL,Adial Pharmaceuticals Inc Common Stock,1.06086e+07,4.04,Health Care
APRE,Aprea Therapeutics Inc. Common stock,9.82109e+06,0.78,Health Care
NDRA,ENDRA Life Sciences Inc. Common Stock,9.74895e+06,6.5,Health Care
LNAI,Lunai Bioworks Inc. Common Stock,9.70252e+06,2.14,Health Care
MPU,Mega Matrix Inc. Class A Ordinary Shares,9.57962e+06,2.8,Consumer Discretionary
ALZN,Alzamend Neuro Inc. Common Stock,9.3619e+06,1.94,Health Care
AQMS,Aqua Metals Inc. Common Stock,8.92629e+06,2.505,Industrials
FBLG,FibroBiologics Inc. Common Stock,8.8554e+06,1.33,Health Care
AMSS,AMASS Brands Inc. Common Stock,8.42413e+06,0.73,Consumer Staples
SNGX,Soligenix Inc. Common Stock,8.38189e+06,0.39,Health Care
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,8.2772e+06,1.66,Miscellaneous
IMNN,Imunon Inc. Common Stock,8.24876e+06,1.47,Health Care
SKYE,Skye Bioscience Inc. Common Stock,7.96982e+06,1.8,Health Care
ACXP,Acurx Pharmaceuticals Inc. Common Stock,7.61638e+06,1.37,Health Care
CNSP,CNS Pharmaceuticals Inc. Common Stock,7.52646e+06,5.15,Health Care
OBAI,Our Bond Inc. Common Stock,7.49388e+06,0.25,Consumer Discretionary
QCLS,Q/C Technologies Inc. Common Stock,7.20214e+06,0.879,Health Care
CURX,Curanex Pharmaceuticals Inc Common Stock,7.01788e+06,4.475,Health Care
ENVB,Enveric Biosciences Inc. Common Stock,7.00476e+06,1.565,Health Care
DAIC,CID HoldCo Inc. Common Stock,6.53547e+06,3.33,Technology
GDC,GD Culture Group Limited Common Stock,6.53512e+06,1.57,Industrials
EEIQ,EpicQuest Education Group International Limited Common Stock,6.50416e+06,3.95,Real Estate
NVNO,enVVeno Medical Corporation Common Stock,6.22564e+06,8.96,Health Care
PULM,Pulmatrix Inc. Common Stock,6.1541e+06,1.685,Health Care
ERNA,Ernexa Therapeutics Inc. Common Stock,5.9583e+06,3.65,Health Care
AIDX,20/20 Biolabs Inc. Common Stock,5.44781e+06,0.43,Health Care
LIMN,Liminatus Pharma Inc. Class A Common Stock,5.41313e+06,4.03,Health Care
AQB,AquaBounty Technologies Inc. Common Stock,5.35309e+06,1.04,Consumer Staples
PCSA,Processa Pharmaceuticals Inc. Common Stock,5.2795e+06,1.89,Health Care
RMSG,Real Messenger Corporation Ordinary Shares,5.12547e+06,0.317,Technology
ZNB,Zeta Network Group Class A Ordinary Shares,5.07157e+06,1.38,Real Estate
CVKD,Cadrenal Therapeutics Inc. Common Stock,4.70922e+06,1.32,Health Care
GRI,GRI Bio Inc. Common Stock,4.70015e+06,2.15,Health Care
DRMA,Dermata Therapeutics Inc. Common Stock,4.5048e+06,1.12,Health Care
MTR,Mesa Royalty Trust Common Stock,4.41671e+06,2.37,Energy
BJDX,Bluejay Diagnostics Inc. Common Stock,4.32865e+06,0.969,Health Care
LABT,Lakewood-Amedex Biotherapeutics Inc. Common Stock,4.21804e+06,1.78,Health Care
ARTL,Artelo Biosciences Inc. Common Stock,4.00423e+06,7.31,Health Care
JUNS,Jupiter Neurosciences Inc. Common Stock,3.91601e+06,2.97,Health Care
MBIO,Mustang Bio Inc. Common Stock,3.87514e+06,0.511,Health Care
REVB,Revelation Biosciences Inc. Common Stock,3.72171e+06,0.934,Health Care
SHPH,Shuttle Pharmaceuticals Holdings Inc. Common Stock,3.6877e+06,3.59,Health Care
APVO,Aptevo Therapeutics Inc. Common Stock,3.40572e+06,1.89,Health Care
SGRX,SANGRIX INC. Class A Ordinary Shares,3.13174e+06,1.59,Finance
GNPX,Genprex Inc. Common Stock,3.07391e+06,3.75,Health Care
SDST,Stardust Power Inc. Common Stock,3.04544e+06,0.116,Industrials
CDT,CDT Equity Inc. Common Stock,2.59928e+06,0.135,Health Care
MTNB,Matinas Biopharma Holdings Inc. Common Stock,2.57124e+06,0.175,Health Care
DCOY,Decoy Therapeutics Inc. Common Stock,2.52246e+06,3.85,Health Care
OGEN,Oragenics Inc. Common Stock,2.19281e+06,0.49,Health Care
GCTK,GlucoTrack Inc. Common Stock,1.62073e+06,2.03,Health Care
BBLG,Bone Biologics Corp Common Stock,1.39539e+06,0.506,Health Care
UK,Ucommune International Ltd Class A Ordinary Shares,1.33556e+06,1.97,Consumer Discretionary
PFSA,Profusa Inc. Common Stock,1.24158e+06,2.05,Health Care
FRGT,Freight Technologies Inc. Ordinary Shares,280341,0.49,Industrials
