h,n,隨機漫步_誤差,組合_誤差,改善,OOS_R2,方向命中,實測涵蓋率
3,7189,0.1309,0.1281,-0.0217,0.1673,0.6033,0.7908
6,6925,0.2031,0.1881,-0.0736,0.2733,0.6456,0.7752
9,6721,0.2693,0.2358,-0.1247,0.3000,0.6591,0.7861
12,6486,0.3214,0.2641,-0.1782,0.3089,0.6753,0.7819
18,6092,0.3503,0.2919,-0.1666,0.3231,0.6822,0.7867
24,5709,0.3623,0.3053,-0.1574,0.3241,0.6880,0.8132
36,4528,0.3527,0.2954,-0.1625,0.3610,0.6924,0.7903
