h,方法,n,中位絕對誤差,相對隨機漫步,OOS_R2,方向命中,期間,樣本,比較,典型誤差
24,R_資金成本,8453.000000,0.247327,-0.177162,0.376423,0.714184,保留期,全部,報酬假設,
24,R_CAPM beta,8453.000000,0.247457,-0.176729,0.365563,0.711345,保留期,全部,報酬假設,
24,R_零,8453.000000,0.276628,-0.079681,0.319595,0.666982,保留期,全部,報酬假設,
24,R_同產業過去10年,8453.000000,0.243340,-0.190427,0.394903,0.720454,保留期,全部,報酬假設,
24,R_全體過去10年,8453.000000,0.249765,-0.169051,0.377701,0.707323,保留期,全部,報酬假設,
36,rw,3619.000000,0.332954,0.000000,0.000000,,保留期,全部,報酬假設,
36,R_資金成本,3619.000000,0.252217,-0.242487,0.405002,0.726996,保留期,全部,報酬假設,
36,R_CAPM beta,3619.000000,0.248874,-0.252527,0.394052,0.726996,保留期,全部,報酬假設,
36,R_零,3619.000000,0.303350,-0.088914,0.330811,0.679193,保留期,全部,報酬假設,
36,R_同產業過去10年,3619.000000,0.264893,-0.204415,0.405488,0.706549,保留期,全部,報酬假設,
36,R_全體過去10年,3619.000000,0.267784,-0.195733,0.400091,0.699364,保留期,全部,報酬假設,
6,rw,2326.000000,0.204177,0.000000,0.000000,,保留期,科技股名單,報酬假設,
6,R_資金成本,2326.000000,0.197899,-0.030752,0.257388,0.636285,保留期,科技股名單,報酬假設,
6,R_CAPM beta,2326.000000,0.197937,-0.030563,0.256371,0.636285,保留期,科技股名單,報酬假設,
6,R_零,2326.000000,0.199058,-0.025071,0.236574,0.620378,保留期,科技股名單,報酬假設,
6,R_同產業過去10年,2326.000000,0.194297,-0.048390,0.263441,0.624678,保留期,科技股名單,報酬假設,
6,R_全體過去10年,2326.000000,0.195978,-0.040158,0.259029,0.634136,保留期,科技股名單,報酬假設,
12,rw,1911.000000,0.295507,0.000000,0.000000,,保留期,科技股名單,報酬假設,
12,R_資金成本,1911.000000,0.252085,-0.146940,0.327128,0.687598,保留期,科技股名單,報酬假設,
12,R_CAPM beta,1911.000000,0.254949,-0.137249,0.322138,0.683935,保留期,科技股名單,報酬假設,
12,R_零,1911.000000,0.272528,-0.077758,0.273906,0.645735,保留期,科技股名單,報酬假設,
12,R_同產業過去10年,1911.000000,0.247348,-0.162969,0.354846,0.696494,保留期,科技股名單,報酬假設,
12,R_全體過去10年,1911.000000,0.251264,-0.149718,0.338346,0.686028,保留期,科技股名單,報酬假設,
24,rw,1214.000000,0.342568,0.000000,0.000000,,保留期,科技股名單,報酬假設,
24,R_資金成本,1214.000000,0.305402,-0.108492,0.412412,0.691928,保留期,科技股名單,報酬假設,
24,R_CAPM beta,1214.000000,0.312071,-0.089023,0.394130,0.680395,保留期,科技股名單,報酬假設,
24,R_零,1214.000000,0.343132,0.001646,0.285151,0.602965,保留期,科技股名單,報酬假設,
24,R_同產業過去10年,1214.000000,0.274073,-0.199944,0.481534,0.735585,保留期,科技股名單,報酬假設,
24,R_全體過去10年,1214.000000,0.290535,-0.151890,0.446868,0.720758,保留期,科技股名單,報酬假設,
36,rw,528.000000,0.416661,0.000000,0.000000,,保留期,科技股名單,報酬假設,
36,R_資金成本,528.000000,0.281786,-0.323705,0.493088,0.774621,保留期,科技股名單,報酬假設,
36,R_CAPM beta,528.000000,0.302666,-0.273593,0.464883,0.763258,保留期,科技股名單,報酬假設,
36,R_零,528.000000,0.376490,-0.096411,0.317914,0.651515,保留期,科技股名單,報酬假設,
36,R_同產業過去10年,528.000000,0.282788,-0.321301,0.544769,0.755682,保留期,科技股名單,報酬假設,
36,R_全體過去10年,528.000000,0.284654,-0.316823,0.532859,0.772727,保留期,科技股名單,報酬假設,
6,rw,14006.000000,0.169746,0.000000,0.000000,,保留期,非科技股,報酬假設,
6,R_資金成本,14006.000000,0.159960,-0.057647,0.176261,0.638369,保留期,非科技股,報酬假設,
6,R_CAPM beta,14006.000000,0.159685,-0.059272,0.174807,0.635942,保留期,非科技股,報酬假設,
6,R_零,14006.000000,0.163266,-0.038176,0.169552,0.631372,保留期,非科技股,報酬假設,
6,R_同產業過去10年,14006.000000,0.159952,-0.057699,0.174182,0.633871,保留期,非科技股,報酬假設,
6,R_全體過去10年,14006.000000,0.160948,-0.051831,0.173233,0.631158,保留期,非科技股,報酬假設,
12,rw,11615.000000,0.245484,0.000000,0.000000,,保留期,非科技股,報酬假設,
12,R_資金成本,11615.000000,0.206605,-0.158378,0.279544,0.679724,保留期,非科技股,報酬假設,
12,R_CAPM beta,11615.000000,0.207014,-0.156710,0.274715,0.677916,保留期,非科技股,報酬假設,
12,R_零,11615.000000,0.220603,-0.101355,0.259241,0.657770,保留期,非科技股,報酬假設,
12,R_同產業過去10年,11615.000000,0.207265,-0.155688,0.278515,0.675161,保留期,非科技股,報酬假設,
12,R_全體過去10年,11615.000000,0.209948,-0.144758,0.275048,0.675678,保留期,非科技股,報酬假設,
24,rw,7239.000000,0.293632,0.000000,0.000000,,保留期,非科技股,報酬假設,
24,R_資金成本,7239.000000,0.239934,-0.182875,0.369867,0.717917,保留期,非科技股,報酬假設,
24,R_CAPM beta,7239.000000,0.238662,-0.187208,0.360358,0.716535,保留期,非科技股,報酬假設,
24,R_零,7239.000000,0.265348,-0.096324,0.325871,0.677718,保留期,非科技股,報酬假設,
24,R_同產業過去10年,7239.000000,0.238961,-0.186190,0.379120,0.717917,保留期,非科技股,報酬假設,
24,R_全體過去10年,7239.000000,0.244269,-0.168113,0.365100,0.705070,保留期,非科技股,報酬假設,
36,rw,3091.000000,0.319272,0.000000,0.000000,,保留期,非科技股,報酬假設,
36,R_資金成本,3091.000000,0.248306,-0.222274,0.389923,0.718861,保留期,非科技股,報酬假設,
36,R_CAPM beta,3091.000000,0.240488,-0.246761,0.381927,0.720802,保留期,非科技股,報酬假設,
36,R_零,3091.000000,0.292454,-0.084000,0.333019,0.683921,保留期,非科技股,報酬假設,
36,R_同產業過去10年,3091.000000,0.261203,-0.181880,0.381645,0.698156,保留期,非科技股,報酬假設,
36,R_全體過去10年,3091.000000,0.265703,-0.167787,0.377363,0.686833,保留期,非科技股,報酬假設,
12,現行,,,,0.268448,,選模期,全部,大樹（31 葉、每葉 ≥200、600 輪）,0.235135
12,新參數,,,,0.272732,,選模期,全部,大樹（31 葉、每葉 ≥200、600 輪）,0.235578
24,現行,,,,0.254103,,選模期,全部,大樹（31 葉、每葉 ≥200、600 輪）,0.269122
24,新參數,,,,0.257815,,選模期,全部,大樹（31 葉、每葉 ≥200、600 輪）,0.267702
12,現行,,,,0.288020,,保留期,全部,大樹（31 葉、每葉 ≥200、600 輪）,0.213194
12,新參數,,,,0.286380,,保留期,全部,大樹（31 葉、每葉 ≥200、600 輪）,0.215956
24,現行,,,,0.374533,,保留期,全部,大樹（31 葉、每葉 ≥200、600 輪）,0.247337
24,新參數,,,,0.367363,,保留期,全部,大樹（31 葉、每葉 ≥200、600 輪）,0.251172
12,現行,,,,0.269241,,選模期,全部,小學習率（0.03、600 輪）,0.235077
12,新參數,,,,0.270549,,選模期,全部,小學習率（0.03、600 輪）,0.235809
24,現行,,,,0.254103,,選模期,全部,小學習率（0.03、600 輪）,0.269122
24,新參數,,,,0.255374,,選模期,全部,小學習率（0.03、600 輪）,0.269482
12,現行,,,,0.287304,,保留期,全部,小學習率（0.03、600 輪）,0.213204
12,新參數,,,,0.287090,,保留期,全部,小學習率（0.03、600 輪）,0.213558
24,現行,,,,0.374533,,保留期,全部,小學習率（0.03、600 輪）,0.247337
24,新參數,,,,0.373717,,保留期,全部,小學習率（0.03、600 輪）,0.246038
