進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),114年8月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,909703
出口總值(含復出口),114年8月,853400,印刷電路, Printed circuit,454163
出口總值(含復出口),114年8月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,89216
出口總值(含復出口),114年8月,854149,其他, Other,18422
出口總值(含復出口),114年8月,854232,記憶體, Memories,3049240
出口總值(含復出口),114年8月,854470,光纖電纜, Optical fibre cables,4630
出口總值(含復出口),114年8月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1057
出口總值(含復出口),114年9月,841459,其他, Other,24580
出口總值(含復出口),114年9月,841950,熱交換器, Heat exchange units,7109
出口總值(含復出口),114年9月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,4708206
出口總值(含復出口),114年9月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1664140
出口總值(含復出口),114年9月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,9112
出口總值(含復出口),114年9月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,77702
出口總值(含復出口),114年9月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,133353
出口總值(含復出口),114年9月,848690,零件及附件, Parts and accessories,233056
出口總值(含復出口),114年9月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,14680
出口總值(含復出口),114年9月,850440,靜電式變流器, Static converters,242038
出口總值(含復出口),114年9月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,919347
出口總值(含復出口),114年9月,853400,印刷電路, Printed circuit,415722
出口總值(含復出口),114年9月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,87141
出口總值(含復出口),114年9月,854149,其他, Other,18626
出口總值(含復出口),114年9月,854232,記憶體, Memories,2208155
出口總值(含復出口),114年9月,854470,光纖電纜, Optical fibre cables,4834
出口總值(含復出口),114年9月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1019
出口總值(含復出口),114年10月,841459,其他, Other,24209
出口總值(含復出口),114年10月,841950,熱交換器, Heat exchange units,13429
出口總值(含復出口),114年10月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,4061922
出口總值(含復出口),114年10月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1779912
出口總值(含復出口),114年10月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,10629
出口總值(含復出口),114年10月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,85419
出口總值(含復出口),114年10月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,150706
出口總值(含復出口),114年10月,848690,零件及附件, Parts and accessories,206896
出口總值(含復出口),114年10月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,15345
出口總值(含復出口),114年10月,850440,靜電式變流器, Static converters,257093
出口總值(含復出口),114年10月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,887056
出口總值(含復出口),114年10月,853400,印刷電路, Printed circuit,482322
出口總值(含復出口),114年10月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,103040
出口總值(含復出口),114年10月,854149,其他, Other,19034
出口總值(含復出口),114年10月,854232,記憶體, Memories,2614122
出口總值(含復出口),114年10月,854470,光纖電纜, Optical fibre cables,4365
出口總值(含復出口),114年10月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1695
出口總值(含復出口),114年11月,841459,其他, Other,25035
出口總值(含復出口),114年11月,841950,熱交換器, Heat exchange units,8021
出口總值(含復出口),114年11月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,8923947
出口總值(含復出口),114年11月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1701170
出口總值(含復出口),114年11月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,12262
出口總值(含復出口),114年11月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,104351
出口總值(含復出口),114年11月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,186359
