進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),113年3月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,624782
出口總值(含復出口),113年3月,853400,印刷電路, Printed circuit,424390
出口總值(含復出口),113年3月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,55269
出口總值(含復出口),113年3月,854149,其他, Other,19983
出口總值(含復出口),113年3月,854232,記憶體, Memories,1515642
出口總值(含復出口),113年3月,854470,光纖電纜, Optical fibre cables,4067
出口總值(含復出口),113年3月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,364
出口總值(含復出口),113年4月,841459,其他, Other,21581
出口總值(含復出口),113年4月,841950,熱交換器, Heat exchange units,7040
出口總值(含復出口),113年4月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,1394483
出口總值(含復出口),113年4月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1008999
出口總值(含復出口),113年4月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,9031
出口總值(含復出口),113年4月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,81618
出口總值(含復出口),113年4月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,159016
出口總值(含復出口),113年4月,848690,零件及附件, Parts and accessories,180823
出口總值(含復出口),113年4月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,14707
出口總值(含復出口),113年4月,850440,靜電式變流器, Static converters,160766
出口總值(含復出口),113年4月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,602240
出口總值(含復出口),113年4月,853400,印刷電路, Printed circuit,397559
出口總值(含復出口),113年4月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,55298
出口總值(含復出口),113年4月,854149,其他, Other,15169
出口總值(含復出口),113年4月,854232,記憶體, Memories,1394663
出口總值(含復出口),113年4月,854470,光纖電纜, Optical fibre cables,9912
出口總值(含復出口),113年4月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,273
出口總值(含復出口),113年5月,841459,其他, Other,24580
出口總值(含復出口),113年5月,841950,熱交換器, Heat exchange units,5518
出口總值(含復出口),113年5月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,1242213
出口總值(含復出口),113年5月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1212179
出口總值(含復出口),113年5月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,8527
出口總值(含復出口),113年5月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,88499
出口總值(含復出口),113年5月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,207944
出口總值(含復出口),113年5月,848690,零件及附件, Parts and accessories,223806
出口總值(含復出口),113年5月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,16143
出口總值(含復出口),113年5月,850440,靜電式變流器, Static converters,188638
出口總值(含復出口),113年5月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,559620
出口總值(含復出口),113年5月,853400,印刷電路, Printed circuit,403240
出口總值(含復出口),113年5月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,61377
出口總值(含復出口),113年5月,854149,其他, Other,20589
出口總值(含復出口),113年5月,854232,記憶體, Memories,1543833
出口總值(含復出口),113年5月,854470,光纖電纜, Optical fibre cables,6983
出口總值(含復出口),113年5月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,873
出口總值(含復出口),113年6月,841459,其他, Other,23242
出口總值(含復出口),113年6月,841950,熱交換器, Heat exchange units,3972
出口總值(含復出口),113年6月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,1718963
出口總值(含復出口),113年6月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1158374
出口總值(含復出口),113年6月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,7006
出口總值(含復出口),113年6月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,100935
出口總值(含復出口),113年6月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,163192
出口總值(含復出口),113年6月,848690,零件及附件, Parts and accessories,210788
出口總值(含復出口),113年6月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,12807
出口總值(含復出口),113年6月,850440,靜電式變流器, Static converters,173881
出口總值(含復出口),113年6月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,755912
出口總值(含復出口),113年6月,853400,印刷電路, Printed circuit,370120
出口總值(含復出口),113年6月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,55638
出口總值(含復出口),113年6月,854149,其他, Other,18368
出口總值(含復出口),113年6月,854232,記憶體, Memories,1456375
出口總值(含復出口),113年6月,854470,光纖電纜, Optical fibre cables,12246
出口總值(含復出口),113年6月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,438
出口總值(含復出口),113年7月,841459,其他, Other,22379
出口總值(含復出口),113年7月,841950,熱交換器, Heat exchange units,4885
出口總值(含復出口),113年7月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,2035820
出口總值(含復出口),113年7月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1224527
出口總值(含復出口),113年7月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,7959
出口總值(含復出口),113年7月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,83195
出口總值(含復出口),113年7月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,135363
出口總值(含復出口),113年7月,848690,零件及附件, Parts and accessories,190187
出口總值(含復出口),113年7月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,13799
出口總值(含復出口),113年7月,850440,靜電式變流器, Static converters,156509
出口總值(含復出口),113年7月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,633802
出口總值(含復出口),113年7月,853400,印刷電路, Printed circuit,417711
出口總值(含復出口),113年7月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,54936
出口總值(含復出口),113年7月,854149,其他, Other,18767
出口總值(含復出口),113年7月,854232,記憶體, Memories,1515424
出口總值(含復出口),113年7月,854470,光纖電纜, Optical fibre cables,8264
出口總值(含復出口),113年7月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,806
出口總值(含復出口),113年8月,841459,其他, Other,24197
出口總值(含復出口),113年8月,841950,熱交換器, Heat exchange units,6064
出口總值(含復出口),113年8月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,2616316
出口總值(含復出口),113年8月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1428941
出口總值(含復出口),113年8月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,8287
出口總值(含復出口),113年8月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,100953
出口總值(含復出口),113年8月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,185098
出口總值(含復出口),113年8月,848690,零件及附件, Parts and accessories,201855
出口總值(含復出口),113年8月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,19043
出口總值(含復出口),113年8月,850440,靜電式變流器, Static converters,194281
出口總值(含復出口),113年8月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,799949
出口總值(含復出口),113年8月,853400,印刷電路, Printed circuit,472906
出口總值(含復出口),113年8月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,59891
出口總值(含復出口),113年8月,854149,其他, Other,18759
出口總值(含復出口),113年8月,854232,記憶體, Memories,1777442
出口總值(含復出口),113年8月,854470,光纖電纜, Optical fibre cables,7666
出口總值(含復出口),113年8月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1141
出口總值(含復出口),113年9月,841459,其他, Other,21974
出口總值(含復出口),113年9月,841950,熱交換器, Heat exchange units,6722
出口總值(含復出口),113年9月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,2608158
出口總值(含復出口),113年9月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1228754
出口總值(含復出口),113年9月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,7750
出口總值(含復出口),113年9月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,87961
出口總值(含復出口),113年9月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,185149
出口總值(含復出口),113年9月,848690,零件及附件, Parts and accessories,185878
出口總值(含復出口),113年9月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,15144
出口總值(含復出口),113年9月,850440,靜電式變流器, Static converters,162280
出口總值(含復出口),113年9月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,690289
出口總值(含復出口),113年9月,853400,印刷電路, Printed circuit,418325
出口總值(含復出口),113年9月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,50884
出口總值(含復出口),113年9月,854149,其他, Other,19042
出口總值(含復出口),113年9月,854232,記憶體, Memories,1692552
出口總值(含復出口),113年9月,854470,光纖電纜, Optical fibre cables,12157
出口總值(含復出口),113年9月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,626
出口總值(含復出口),113年10月,841459,其他, Other,20475
出口總值(含復出口),113年10月,841950,熱交換器, Heat exchange units,6328
出口總值(含復出口),113年10月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,1343339
出口總值(含復出口),113年10月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1224702
出口總值(含復出口),113年10月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,9257
出口總值(含復出口),113年10月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,86466
出口總值(含復出口),113年10月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,172158
出口總值(含復出口),113年10月,848690,零件及附件, Parts and accessories,203196
出口總值(含復出口),113年10月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,14651
出口總值(含復出口),113年10月,850440,靜電式變流器, Static converters,155394
出口總值(含復出口),113年10月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,819954
出口總值(含復出口),113年10月,853400,印刷電路, Printed circuit,442094
出口總值(含復出口),113年10月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,49431
出口總值(含復出口),113年10月,854149,其他, Other,18506
出口總值(含復出口),113年10月,854232,記憶體, Memories,2047734
出口總值(含復出口),113年10月,854470,光纖電纜, Optical fibre cables,17608
出口總值(含復出口),113年10月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1075
出口總值(含復出口),113年11月,841459,其他, Other,22295
出口總值(含復出口),113年11月,841950,熱交換器, Heat exchange units,5396
