Date,Open,High,Low,Close,Volume
2018-01-02,235.13788587052997,235.98945411816476,234.75160583295255,235.95433044433594,86655700.0
2018-01-03,236.12110292886277,237.59600232641256,236.12110292886277,237.44674682617188,90070400.0
2018-01-04,238.0876536192369,238.93043423408284,237.5082335741826,238.44757080078125,80636400.0
2018-01-05,239.2376944978411,240.1594832389474,238.74607026371623,240.03659057617188,83524000.0
2018-01-08,239.93994374624884,240.6334954184191,239.65024721010417,240.47547912597656,57319200.0
2018-01-09,240.8968254667871,241.6430491421475,240.61588978805125,241.01974487304688,57254000.0
2018-01-10,240.2647973076733,240.9144645859903,239.59760838310203,240.6510772705078,69574300.0
2018-01-11,241.20418164712254,242.4069061279297,241.03737770393656,242.4069061279297,62361500.0
2018-01-12,242.67025024306636,244.1538834452127,242.3717392883683,243.9871063232422,90816100.0
2018-01-16,245.2425689643196,245.89220956615077,242.45960057454664,243.1531524658203,106555100.0
2018-01-17,244.08368740476362,245.85704412576092,243.1531111580364,245.47076416015625,113258800.0
2018-01-18,245.35665068678648,245.7780275136728,244.56651555336,245.05816650390625,100728000.0
2018-01-19,245.6376059390425,246.1731414794922,245.05821269286884,246.1731414794922,140920100.0
2018-01-22,245.96235907082655,248.17466735839844,245.9096601861562,248.17466735839844,91322400.0
2018-01-23,248.21850708360932,248.99106669944908,247.89368697047152,248.7013702392578,97084700.0
2018-01-24,249.34238639774867,249.9393817234188,247.42856132509596,248.60494995117188,134816100.0
2018-01-25,249.4652317930512,249.56178838394288,247.92011200672914,248.71022033691406,84587300.0
2018-01-26,249.54421710609475,251.63363295548834,249.2896174392641,251.5897216796875,107743100.0
2018-01-29,251.01922509799192,251.45817734421993,249.76382810374432,249.92184448242188,90118300.0
2018-01-30,248.09565140466236,249.9743518486628,246.88413971694652,247.35821533203125,131796400.0
2018-01-31,248.20987669807295,248.7102617559007,246.41015692190018,247.481201171875,108364800.0
2018-02-01,246.7525281863909,248.49954888800508,246.41013270475324,247.2002410888672,90102500.0
2018-02-02,245.88341509241843,246.0151221655599,241.78361717245468,241.81874084472656,173174800.0
2018-02-05,240.06284775356184,242.16981189202016,231.1608887698345,231.70518493652344,294681800.0
2018-02-06,228.20247265308834,236.77082819942626,227.1138797666824,236.27041625976562,355026800.0
2018-02-07,235.7172962159094,239.10599383417136,234.90961250020038,234.9886474609375,167376100.0
2018-02-08,235.28710323131492,235.42757111233564,226.13933006721916,226.17445373535156,246449500.0
2018-02-09,228.95738632420708,231.42429478550562,222.039510890829,229.57192993164062,283565300.0
2018-02-12,231.61739535676696,234.40915037593444,229.71235872257293,232.9430389404297,143736000.0
2018-02-13,231.7403623395533,234.06680300678443,231.16094237859048,233.5225067138672,81223600.0
2018-02-14,232.0389060277352,237.03418412540293,232.0301184105937,236.6742401123047,120735700.0
2018-02-15,238.41242036112484,239.7029404462211,235.9542728320571,239.69415283203125,111200300.0
2018-02-16,239.07086405094287,241.70457649535732,239.0269527686309,239.76438903808594,160420100.0
2018-02-20,238.81629808944345,240.25607395574437,237.47310562466865,238.26321411132812,86369700.0
2018-02-21,238.7021616780107,241.17785810812944,236.98147683910005,237.07803344726562,98883700.0
2018-02-22,237.99984336345477,239.71174054605476,236.71811068253444,237.3852996826172,110511300.0
2018-02-23,238.6055718002206,241.16903686523438,238.13149606679718,241.16903686523438,92766400.0
2018-02-26,242.2400410112022,244.06609630972784,241.6518603424057,243.96951293945312,86491400.0
2018-02-27,244.15392938564298,244.86505645092993,240.8617885657484,240.92324829101562,99099200.0
2018-02-28,242.02060331721685,242.4683429952986,238.166618131019,238.48265075683594,121907800.0
2018-03-01,238.2719550648111,239.81707485453967,233.52249066745827,235.0149383544922,176855100.0
2018-03-02,233.34696106461368,236.78835783926957,232.48663196458529,236.2264862060547,139083200.0
2018-03-05,235.0413262022246,239.5713155727941,234.93595518210756,238.95677185058594,97307400.0
2018-03-06,239.93117419254034,240.0102091362149,238.0700218307826,239.56246948242188,79213200.0
2018-03-07,237.40279941766687,239.8257961164526,237.20965947581053,239.47463989257812,87063500.0
2018-03-08,240.15066631212258,240.75642231086204,239.15865714072376,240.63352966308594,66901200.0
2018-03-09,242.0381348622031,244.82107543945312,241.72207550192218,244.82107543945312,113625300.0
2018-03-12,245.11086546193317,245.73416994766413,244.12759024461914,244.5138702392578,71924800.0
2018-03-13,245.67272707268907,246.1731389352705,242.32791395587557,242.9336700439453,91968900.0
2018-03-14,243.89054440125355,244.07489676707442,241.13393936249835,241.68699645996094,105895100.0
2018-03-15,242.19626620070503,242.83711925566197,240.9232941249013,241.4237060546875,83433000.0
2018-03-16,241.9499317528152,242.73440892384784,241.6326332783432,241.68551635742188,100343700.0
2018-03-19,240.93625086908648,241.8617314494688,236.76712305431,238.41537475585938,109208400.0
2018-03-20,238.8119932303427,239.45543966554663,238.1421052648597,238.82081604003906,59757300.0
2018-03-21,238.77672584368344,240.86568740550535,238.15092503585717,238.36245727539062,78709600.0
2018-03-22,236.14123439279868,236.98739005742476,232.13075727109523,232.40402221679688,148785900.0
2018-03-23,232.84478414512185,233.17090531261704,227.25655645235332,227.45046997070312,183534800.0
2018-03-26,231.04664893729182,233.95532442997438,228.64918525346152,233.6732635498047,141956100.0
2018-03-27,234.60762172890932,235.13645231917573,228.1467967301256,229.69810485839844,129941400.0
2018-03-28,229.83028169770907,231.49617853016616,227.91758832327378,229.0193634033203,146452300.0
2018-03-29,230.15639710133348,233.80548898724396,229.0281805233389,231.9456787109375,111601600.0
2018-04-02,231.41682631878385,231.9280650176336,224.47124538181424,226.93922424316406,186286300.0
2018-04-03,228.17322279650818,230.32389004720667,226.38394102387377,229.84791564941406,119956900.0
2018-04-04,226.30464403356794,233.01223907187764,226.17243637884116,232.30711364746094,123715300.0
2018-04-05,234.0611056703616,235.02187728674107,232.97697612149102,234.1404571533203,82652600.0
2018-04-06,232.1837048489923,233.67328013698705,227.40639586017514,228.9224395751953,179521200.0
2018-04-09,230.3768261726803,233.4353557781252,229.11640156292754,230.0507049560547,105442900.0
2018-04-10,232.93287264449012,234.49300338650028,231.79586011923547,233.70852661132812,103529000.0
2018-04-11,232.22777905016653,234.1404727021837,232.15727727028641,232.4833984375,91140200.0
2018-04-12,233.80553590428718,235.33919847775888,233.62924110095946,234.3960723876953,68890500.0
2018-04-13,235.70054458081614,235.8151334939362,232.70372171705588,233.70852661132812,85079200.0
2018-04-16,235.33916334821905,236.3968782126774,234.5194491226073,235.63002014160156,63405300.0
2018-04-17,237.3928893273972,238.75028395961277,236.88167744967973,238.1509246826172,64682000.0
2018-04-18,238.59167058773116,239.12932407604146,237.86889946351178,238.32725524902344,57303900.0
2018-04-19,237.67501872082548,237.8777551076934,235.9738837097731,237.00515747070312,77655900.0
2018-04-20,236.93457291245892,237.15492797278438,234.1140173807684,234.9954376220703,99953100.0
2018-04-23,235.56832601606533,236.12362493922348,233.8848105295463,234.96014404296875,65558000.0
2018-04-24,235.98259786663672,236.20295287745273,230.297427828062,231.7958526611328,112885500.0
2018-04-25,231.73418132998165,232.8095150189369,229.91845792222574,232.36880493164062,103840900.0
2018-04-26,233.3912234923212,235.5595092922136,232.9505134655818,234.73097229003906,67731900.0
2018-04-27,235.33916671761327,235.6388463237789,234.0170365675143,234.9513397216797,57053600.0
2018-04-30,235.56836039425437,236.1236593984513,233.07392627997427,233.1444549560547,82182300.0
2018-05-01,232.58043185234231,233.6645887920363,231.02912310588326,233.55882263183594,74203400.0
2018-05-02,233.36485118585458,234.17574281224557,231.60201055601448,231.98983764648438,86368900.0
2018-05-03,231.16129352643733,232.13083432497558,228.33191503251203,231.4785919189453,136311500.0
2018-05-04,230.50901174745036,235.15411363285418,230.18289056208346,234.47540283203125,91222100.0
