Date,Open,High,Low,Close,Volume
2018-01-02,148.22991761860484,150.0951010831363,147.86066890692638,150.05723571777344,32573300.0
2018-01-03,150.19927780906815,151.64787029887714,150.1708751678498,151.51531982421875,29383600.0
2018-01-04,152.03606425211956,152.23488274752748,151.56266761954237,151.78042602539062,24776100.0
2018-01-05,152.50001336522683,153.40892690016713,152.21597246796293,153.30477905273438,26992300.0
2018-01-08,153.30476074884282,153.97699031054225,153.24795546555637,153.9012451171875,23159100.0
2018-01-09,154.20423973275385,154.36519288056544,153.44681655409244,153.91073608398438,24782400.0
2018-01-10,153.22896666886737,153.57928988222977,152.54727459308208,153.55087280273438,34004000.0
2018-01-11,153.81602678878824,154.61132959484456,153.5793284931583,154.6018524169922,20473500.0
2018-01-12,154.46927768804107,155.8989444151264,154.27045924121256,155.7379913330078,37762700.0
2018-01-16,156.77000951001182,157.5653122786025,154.82908068789757,155.2930145263672,41231800.0
2018-01-17,156.031480008147,157.20549401228766,155.2740427638188,156.9687957763672,33849900.0
2018-01-18,156.7227362314984,157.3570861806409,156.3534873223879,156.997314453125,26432200.0
2018-01-19,157.46117560667471,157.7452164575486,156.73214079371257,157.4895782470703,38937600.0
2018-01-22,157.4327546368143,159.1748504638672,157.25286163730806,159.1748504638672,26081400.0
2018-01-23,159.66718514268325,160.6329181337102,159.59143996231683,160.4908905029297,37989700.0
2018-01-24,160.83177301635945,161.18209636076,158.5310722351941,159.449462890625,54287400.0
2018-01-25,160.5477280065856,160.6045332864235,158.88136274777995,159.39263916015625,28925000.0
2018-01-26,160.28263248022026,161.85431283606968,159.97020340240428,161.8353729248047,32038200.0
2018-01-29,161.49450869067098,161.81641488277137,160.70866867095552,161.0495147705078,37277800.0
2018-01-30,159.5819705866979,160.40567591264175,158.89081570914632,159.72398376464844,44987700.0
2018-01-31,160.6234475483431,160.94536818984005,159.3831508686413,160.38674926757812,42449200.0
2018-02-01,159.15591165031978,160.699174441353,158.51208488752155,159.0233612060547,38037900.0
2018-02-02,158.39849946160183,158.77721094899687,155.71907306987626,155.85162353515625,68478100.0
2018-02-05,154.39354623256088,156.93094461673147,149.5932986391769,149.7069091796875,105372200.0
2018-02-06,147.51984041231358,153.86335171489213,146.84762535687182,153.6739959716797,118537900.0
2018-02-07,153.1816657850335,154.8480310664731,151.67626806121106,151.6857452392578,91028300.0
2018-02-08,152.07392125317836,152.24435154392032,145.28541564941406,145.28541564941406,94184800.0
2018-02-09,147.3399167917831,148.8737312210823,142.14203265284976,147.7943878173828,113836600.0
2018-02-12,149.30923101699824,151.4395149503486,148.13521711753137,150.41697692871094,63050600.0
